,ba_cn,fa_accoe_last,fa_accoe_this,fa_accos_last,fa_accos_this,fa_accou_last,fa_accou_this,fa_adexe_last,fa_adexe_this,fa_adexs_last,fa_adexs_this,fa_adexu_last,fa_adexu_this,fa_asine_last,fa_asine_this,fa_asins_last,fa_asins_this,fa_asinu_last,fa_asinu_this,fa_cotoe_last,fa_cotoe_this,fa_cotos_last,fa_cotos_this,fa_cotou_last,fa_cotou_this,fa_dine_last,fa_dine_this,fa_dins_last,fa_dins_this,fa_dinu_last,fa_dinu_this,fa_etoue_last,fa_etoue_this,fa_etous_last,fa_etous_this,fa_etouu_last,fa_etouu_this,fa_fuexe_last,fa_fuexe_this,fa_fuexs_last,fa_fuexs_this,fa_fuexu_last,fa_fuexu_this,fa_gine_last,fa_gine_this,fa_gins_last,fa_gins_this,fa_ginu_last,fa_ginu_this,fa_gse_last,fa_gse_this,fa_gss_last,fa_gss_this,fa_gsu_last,fa_gsu_this,fa_inine_last,fa_inine_this,fa_inins_last,fa_inins_this,fa_ininu_last,fa_ininu_this,fa_intoe_last,fa_intoe_this,fa_intos_last,fa_intos_this,fa_intou_last,fa_intou_this,fa_neche_last,fa_neche_this,fa_nechs_last,fa_nechs_this,fa_nechu_last,fa_nechu_this,fa_otexe_last,fa_otexe_this,fa_otexs_last,fa_otexs_this,fa_otexu_last,fa_otexu_this,fa_otine_last,fa_otine_this,fa_otins_last,fa_otins_this,fa_otinu_last,fa_otinu_this,fa_pine_last,fa_pine_this,fa_pins_last,fa_pins_this,fa_pinu_last,fa_pinu_this,fa_sine_last,fa_sine_this,fa_sins_last,fa_sins_this,fa_sinu_last,fa_sinu_this,fp_yr,name,ricf_oid
10,石家庄市志愿服务基金会,"694,477.90","666,983.10","694,477.90","666,983.10",0.00,0.00,0.00,0.00,"68,652.77","62,214.09","68,652.77","62,214.09",0.0,0.00,0.00,0.00,0.00,0.00,"694,477.90","666,983.10","755,659.04","725,494.13","61,181.14","58,511.03","464,600.00","444,536.11","464,600.00","444,536.11",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-7,471.63","-3,703.06","-7,471.63","-3,703.06",0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0.0,0.0,256980.82,312538.36,256980.82,312538.36,"464,600.00","444,536.11","721,580.82","757,074.47","256,980.82","312,538.36","-229,877.90","-222,446.99","-34,078.22","31,580.34","195,799.68","254,027.33",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2016,石家庄市志愿服务基金会,2738.0
11,温州百润教育基金会,0.00,0.00,"34,675.00","970,175.00","34,675.00","970,175.00",0.00,0.00,"365,456.00","32,006.08","365,456.00","32,006.08",0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"400,951.78","1,001,295.19","400,951.78","1,001,295.19",0.00,0.00,0.00,"800,000.00",0.00,"800,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,820.78,-885.89,820.78,-885.89,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,"408,352.55","1,225,000.01","408,352.55","1,225,000.01",0.00,0.00,"7,400.77","223,704.82","7,400.77","223,704.82",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"408,352.55","425,000.01","408,352.55","425,000.01",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2016,温州百润教育基金会,2500.0
12,华盛绿色工业基金会,0.00,0.00,"2,814,704.00","4,424,130.75","2,814,704.00","4,424,130.75",0.00,0.00,"270,882.55","451,782.17","270,882.55","451,782.17",0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,085,586.55","4,875,912.92","3,085,586.55","4,875,912.92",0.00,0.00,"72,000.00","23,618,990.00","72,000.00","23,618,990.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0.0,0.0,89519.5,553734.49,89519.5,553734.49,0.00,0.00,"243,041.28","24,178,551.07","243,041.28","24,178,551.07",0.00,0.00,"-2,842,545.27","19,302,638.15","-2,842,545.27","19,302,638.15",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"81,521.78","5,826.58","81,521.78","5,826.58",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2016,华盛绿色工业基金会,4405.0
13,牡丹江市公安民警救助基金会,0.00,0.00,"1,348,000.00","895,360.00","1,348,000.00","895,360.00",0.00,0.00,"37,125.75","32,860.72","37,125.75","32,860.72",0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,385,764.75","928,861.72","1,385,764.75","928,861.72",0.00,0.00,"300,000.00","200,000.00","300,000.00","200,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0.0,0.0,6904.09,0.0,6904.09,0.0,0.00,0.00,"507,652.47","529,576.07","507,652.47","529,576.07",0.00,0.00,"-878,112.28","-399,285.65","-878,112.28","-399,285.65",0.00,0.00,639.00,641.00,639.00,641.00,0.00,0.00,"200,748.38","329,576.07","200,748.38","329,576.07",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2016,牡丹江市公安民警救助基金会,2670.0
14,北京交通大学教育基金会,0.00,0.00,"119,892,805.77","18,711,871.87","119,892,805.77","18,711,871.87",0.00,0.00,"545,714.17","577,848.04","545,714.17","577,848.04",0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"120,438,519.94","19,289,719.91","120,438,519.94","19,289,719.91","25,800,585.73","45,342,707.45","28,970,585.73","56,003,842.89","3,170,000.00","10,661,135.44","-19,117,602.31","-10,215,410.15",0.00,0.00,"19,117,602.31","10,215,410.15",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0.0,0.0,0.0,12379728.74,0.0,12379728.74,"26,219,065.08","45,799,316.46","38,625,903.45","71,960,362.57","12,406,838.37","26,161,046.11","7,101,462.77","35,583,906.31","-81,812,616.49","52,670,642.66","-88,914,079.26","17,086,736.35",0.00,0.00,0.00,0.00,0.00,0.00,"418,479.35","456,609.01","9,655,317.72","3,576,790.94","9,236,838.37","3,120,181.93",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2016,北京交通大学教育基金会,505.0
15,甘肃陇盛科技发展基金会,0.00,0.00,0.00,"196,000.00",0.00,"196,000.00",0.00,0.00,"111,571.97","25,226.48","111,571.97","25,226.48",0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"111,621.97","245,047.93","111,621.97","245,047.93",0.00,0.00,0.00,"80,000.00",0.00,"80,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,"80,000.00",0.00,"80,000.00",0.00,0.00,"-111,571.97","-165,047.93","-111,571.97","-165,047.93",0.00,0.00,50.00,"23,821.45",50.00,"23,821.45",0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2016,甘肃陇盛科技发展基金会,4111.0
16,营口市公安民警救助基金会,0.00,0.00,"179,000.00","1,080,500.00","179,000.00","1,080,500.00",0.00,0.00,"4,577.69","6,697.67","4,577.69","6,697.67",0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"183,577.69","1,087,197.67","183,577.69","1,087,197.67",0.00,0.00,0.00,"3,100,000.00",0.00,"3,100,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,"42,400.85","3,132,109.78","42,400.85","3,132,109.78",0.00,0.00,"-141,176.84","2,044,912.11","-141,176.84","2,044,912.11",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"42,400.85","32,109.78","42,400.85","32,109.78",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2016,营口市公安民警救助基金会,2922.0
17,重庆市卢作孚教育基金会,"3,670,750.00","1,660,300.00","3,670,750.00","1,660,300.00",0.00,0.00,"8,793.80","9,081.20","8,793.80","9,081.20",0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,"3,679,543.80","1,669,381.20","3,679,543.80","1,669,381.20",0.00,0.00,"1,342,430.72","2,000,000.00","1,342,430.72","2,000,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,86355.59,89532.01,86355.59,89532.01,0.0,0.0,"1,432,161.42","2,097,194.81","1,432,161.42","2,097,194.81",0.00,0.00,"-2,247,382.38","427,813.61","-2,247,382.38","427,813.61",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,375.11","7,662.80","3,375.11","7,662.80",0.00,0.00,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2016,重庆市卢作孚教育基金会,3089.0
18,河北省摩诃佛缘慈善基金会,0.00,0.00,"173,370.00","228,960.00","173,370.00","228,960.00",0.00,0.00,"4,737.48","5,093.48","4,737.48","5,093.48",0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"179,443.23","235,345.48","179,443.23","235,345.48",0.00,0.00,"410,005.00","209,600.00","410,005.00","209,600.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,"410,178.65","209,610.93","410,178.65","209,610.93",0.00,0.00,"230,735.42","-25,734.55","230,735.42","-25,734.55",0.00,0.00,"1,335.75","1,292.00","1,335.75","1,292.00",0.00,0.00,173.65,10.93,173.65,10.93,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2016,河北省摩诃佛缘慈善基金会,2839.0
19,河北省佛教慈善基金会,"7,686,256.20","6,240,253.04","8,178,613.84","6,434,568.22","492,357.64","194,315.18",0.00,0.00,"301,685.53","440,392.45","301,685.53","440,392.45",0.0,0.00,0.00,0.00,0.00,0.00,"7,686,256.20","6,240,253.04","8,594,630.16","6,874,960.67","908,373.96","634,707.63","10,268,186.18","7,184,136.72","11,164,029.25","7,854,411.62","895,843.07","670,274.90",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-21,369.71",0.00,"-21,369.71",0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"10,268,186.18","7,184,136.72","11,164,029.25","7,864,034.90","895,843.07","679,898.18","2,581,929.98","943,883.68","2,569,399.09","989,074.23","-12,530.89","45,190.55",0.00,0.00,"135,700.50",0.00,"135,700.50",0.00,0.00,0.00,0.00,"9,623.28",0.00,"9,623.28",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2016,河北省佛教慈善基金会,2047.0
20,黑龙江省齐齐哈尔医学院教育发展基金会,0.00,"514,825.00","40,200.00","783,551.50","40,200.00","268,726.50",0.00,0.00,"4,197.00","4,046.20","4,197.00","4,046.20",0.0,0.00,0.00,0.00,0.00,0.00,0.00,"514,825.00","32,108.68","775,454.92","32,108.68","260,629.92",0.00,"600,000.00","232,000.00","947,760.00","232,000.00","347,760.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-12,288.32","-12,142.78","-12,288.32","-12,142.78",0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.00,"600,000.00","232,000.00","947,760.00","232,000.00","347,760.00",0.00,"85,775.00","199,891.32","172,905.08","199,891.32","87,130.08",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2016,黑龙江省齐齐哈尔医学院教育发展基金会,3335.0
21,重庆市扶贫基金会,"53,241,975.00","140,400,487.71","53,274,475.00","140,435,517.71","32,500.00","35,030.00",0.00,0.00,"336,269.90","425,610.18","336,269.90","425,610.18",0.0,0.00,0.00,0.00,0.00,0.00,"53,241,975.00","140,400,487.71","53,612,887.55","140,864,308.04","370,912.55","463,820.33","152,484,956.00","112,378,430.50","152,486,100.10","112,378,430.50","1,144.10",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,142.65","3,180.15","2,142.65","3,180.15","1,600,000.00","1,783,000.00","1,600,000.00","1,783,000.00",0.00,0.00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"154,084,956.00","114,161,430.50","154,492,957.76","115,307,246.27","408,001.76","1,145,815.77","100,842,981.00","-26,239,057.21","100,880,070.21","-25,557,061.77","37,089.21","681,995.44",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"406,857.66","1,145,815.77","406,857.66","1,145,815.77",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2016,重庆市扶贫基金会,3399.0
22,河南省闽商慈善基金会,0.00,0.00,"390,222.00","390,222.00","251,540.00","390,222.00",0.00,0.00,"19,762.86","44,915.00","19,762.86","44,915.00",0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"272,447.86","437,295.50","272,447.86","437,295.50",0.00,0.00,"495,000.00","376,300.00","495,000.00","376,300.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,145.00","1,065.00","1,145.00","1,065.00",0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0.0,0.0,0.0,93059.44,0.0,93059.44,0.00,0.00,"599,850.82","469,359.44","599,850.82","469,359.44",0.00,0.00,"-436,202.00","32,063.94","-436,202.00","32,063.94",0.00,0.00,0.00,"1,093.50",0.00,"1,093.50",0.00,0.00,0.00,"104,850.82","104,850.82",0.00,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2016,河南省闽商慈善基金会,3927.0
23,重庆市巫溪县教育基金会,"2,221,359.00","1,456,811.00","3,449,829.00","2,569,911.00","1,228,470.00","1,113,100.00",0.00,0.00,"139,362.00","162,083.00","139,362.00","162,083.00",0.0,0.00,0.00,0.00,0.00,0.00,"2,221,359.00","1,456,811.00","3,589,191.00","2,731,994.00","1,367,832.00","1,275,183.00","3,474,659.00","705,241.00","8,315,469.20","1,305,241.00","4,840,810.20","600,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,180,000.00",0.00,"2,180,000.00",0.00,,,,,,,0.0,0.0,0.0,309172.29,0.0,309172.29,"3,474,659.00","705,241.00","10,514,649.88","1,623,590.64","7,039,990.88","918,349.64","1,253,300.00","-751,570.00","6,925,458.88","-1,108,403.36","5,672,158.88","-356,833.36",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"19,180.68","9,177.35","19,180.68","9,177.35",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2016,重庆市巫溪县教育基金会,3498.0
