ricf_oid_2013	ba_rdt	ba_cn	ba_en	ba_rid	ba_org	ba_msn	ba_srv	ba_ntr	ba_rng	ba_reg	ba_sup	ba_fdt	ba_fnd	ba_add	ba_zip	ba_prv	ba_ct	ba_gis	ba_wb	ba_chr	ba_sec	ba_cpn	ba_cpp	ba_phn	ba_fax	ba_eml	ba_gvm	ba_pgv	ba_nfe	ba_nv	ba_evl	ba_sf	ba_tax	ba_src	ba_bn	ba_sn	ba_mn	ba_brn	ba_rn	ba_pbl	ba_pm	ba_po	ba_ai	ba_ap	ba_hr	ba_nc	ba_fr	ba_tr	ba_rcp	ba_mt	ba_trn	ricf_oid	ba_uscc
13	2013	上海东华大学教育发展基金会	Donghua University Education Development 	沪民基证字第0113号	501781415	遵守宪法、法律、法规和国家政策，遵守社会道德风尚，汇八方涓流、襄教育伟业，全面支持和推动高等教育事业的长远建设和发展，为社会公益事业服务。	接受捐赠、运作基金、改善办学条件、扶植重点学科、奖教奖学、促进国际交流。	非公募	地方	省级民政部门	上海市教育委员会	2010-09-21 00:00:00	500万元		201620	Shanghai Shi	Shanghai	[31.055395, 121.21666]	http://edf.dhu.edu.cn	朱民	徐晶	徐晶	秘书长	021-67792915	021-67792380	ddl@dhu.edu.cn			0.0	0.0	未参评	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			13.0	533100005017814157
14	2013	上海东方文化艺术基金会	Shanghai Dongfang Cultural Art Foundation	沪民基证字第0095号	501780893	筹措、管理文化艺术基金；资助、扶持公益文化艺术项目；承办政府委托文化工作事项；资助优秀艺术人才深造和艺术实践活动；奖励优秀文艺项目和文艺人才；推动文化创新，促进文化交流。	筹措、管理文化艺术基金；资助、扶持公益文化艺术项目；承办政府委托文化工作事项；资助优秀艺术人才深造和艺术实践活动；奖励优秀文艺项目和文艺人才；推动文化创新，促进文化交流。	非公募	地方	省级民政部门	中共上海市委宣传部	2009-05-14 00:00:00	500万元		200337	Shanghai Shi	Shanghai	[31.155224, 121.43887]		郑薇	沈根林	王琪玲	财务	021-62196197	021-62093674	socaf@socaf.com.cn			5.0	30.0	未参评	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			14.0	53310000501780893Q
15	2013	上海东方爱心基金会	Shanghai Eastern Benevolence Foundation	沪民基证字第0080号	50178056X	遵守《中华人民共和国宪法》和国家有关法律法规，努力发挥社会保障的辅助作用，传播爱心文化，弘扬爱心精神，培养爱心使者，开展帮贫济困，助老扶幼的公益活动，为构建社会主义和谐社	资助困难儿童、资助贫困育龄妇女和军嫂、资助贫困高龄老人。	非公募	地方	省级民政部门	上海市民政局	2008-03-20 00:00:00	200万元		200135	Shanghai Shi	Shanghai	[31.2437, 121.5332]	http://www.dfax.org.cn	林冬生	王丽	陈炜	办公室主任	021-50937502	021-50937503	easternloving@sina.com			0.0	45.0		0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			15.0	5331000050178056X5
16	2013	上海中华职业教育温暖工程基金会	Shanghai Vocational Education Foundation 	沪民基证字第0076号	501780420	 本基金会弘扬中华职业教青社“使无业者有业，使有业者乐业”的优良传统，传承中华职业教育社倡导开展的温暖工程薪火，多渠道筹集资金，深入推进温暖工程项目，积极推动和发展上海职	筹集、管理、使用基金；资助与职业教育改革、职业教育事业发展和温暖工程有关的项目和活动。	非公募	地方	省级民政部门	中共上海市委统战部	2007-09-20 00:00:00	200万元		200020	Shanghai Shi	Shanghai	[31.219572, 121.46965]	http://www.shzhzjs.cn/sh_zhzjs/home/wngcjjh/index.jsp	于东元	张界红	邵婷	会计	021-53821369	021-53821369	wngcjjh@sina.com 			2.0	0.0	未参评	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			16.0	53310000501780420H
17	2013	上海中欧国际工商学院教育发展基金会	CEIBS Education Development Foundation	沪民基证字第0036号	501779569	推动中欧国际工商学院的发展	支持工商管理的教学,研究活动吸收优秀师资和生源确保基金的保值增值	非公募	地方	省级民政部门	上海市教育委员会	2005-03-28 00:00:00	300万元		201206	Shanghai Shi	Shanghai	[31.237274, 121.59696]	http://www.ceibs.edu/foundation_c/index.shtml	刘吉	葛俊	葛俊	秘书长	021-28905123	021-28905530	ldavid@ceibs.edu			7.0	0.0	未参评	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			17.0	53310000501779569G
18	2013	上海交响乐团文化发展基金会	Shanghai Symphonec Music Development Foun	沪民基证字第0034号	501772770		组织交响乐新作品的创作、排练和演出；组织对交响音乐的普及工作及音像作品的录制和编辑；资助优秀交响音乐精品和项目。	非公募	地方	省级民政部门	上海市文化广播影视管理局	1992-06-19 00:00:00	400万元		200031	Shanghai Shi	Shanghai	[31.20811, 121.441734]	http://www.shsymphony.com/page-view-id-25.html	陈屹	陈光宪	张晓维	办公室秘书	021-64730381	021-64730381	vidawei@163.com			0.0	0.0	未参评	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			18.0	53310000501772770E
19	2013	上海交通大学教育发展基金会	Shanghai Jiao Tong University Education D	沪民基证字第0007号	501777985	为推动上海交通大学教育事业的发展，多渠道筹集办学资金，争取国内外的企业、社会团体、个人的支持和捐助，提高教育质量和学术水平。  	改善办学设施，包括建筑物、仪器设备、图书资料等；资助基础研究、教学研究；资助教师出国深造及参加国际学术会议；奖励优秀学生和优秀教师，资助贫困学生等。	非公募	地方	省级民政部门	上海市教育委员会	2005-01-27 00:00:00	1,000万元		200240	Shanghai Shi	Shanghai	[31.019327, 121.43007]	http://foundation.sjtu.edu.cn	马德秀	马磊	殷洁	副秘书长	021-54745640	021-54742202	present@sjtu.org			0.0	230.0	4A	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			19.0	53310000501777985E
20	2013	上海仁德基金会	Shanghai Rende Foundation	沪民基证字第0123号	501781829	服务社会，造福人群，推动公益创新，促进社会和谐	资助和开展公益项目、公益行业支持、公益交流、研究、宣传及其他	公募	地方	省级民政部门	上海市民政局	2011-12-07 00:00:00	400万元		200127	Shanghai Shi	Shanghai	[31.213856, 121.52051]	http://www.rendefoundation.org	丘仲辉	朱雪莲	林佳	资源拓展总监	021-60470260	021-60470286	info@rendefoundation.org			12.0	65.0	未参评	6.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			20.0	53310000501781829B
21	2013	上海公安金盾基金会	Shanghai Public Security Golden Shield Fo	沪民基证字第0109号	501781378	抚慰英烈、弘扬正气、凝聚警心、激励警志。	资助公安优抚工作及褒奖慰问优秀民警、家属等各项公益活动。  	公募	地方	省级民政部门	上海市公安局	2010-07-30 00:00:00	11,000万元		200042	Shanghai Shi	Shanghai	[31.22824, 121.43637]		王培生	赵杰英	沈龙飞	办公室主任	021-22020943	0212-2020943	jdjjh@shanghai.gov.cn			0.0	0.0	未参评	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			21.0	533100005017813781
22	2013	上海兴华教育扶贫基金会	Shanghai Xinghua Education Fund	沪民基证字第0070号	501780084	通过对我国农村贫困地区家庭子女提供资助，为受助学生提供更多的平等教育机会。通过接受教育，创造发展机会，改变贫困命运；同时倡导“人人爱我、我爱人人”的社会互助精神，为中华之	资助农村贫困家庭子女就学，资助师资培训，资助农村义务教育事业	非公募	地方	省级民政部门	上海市民政局	2006-09-05 00:00:00	200万元		200051	Shanghai Shi	Shanghai	[31.197515, 121.416435]	http://www.xinghua.org.cn	王韬	张开冰	曾庆忠	项目总监	021-62787150	021-62090370	info@xinghua.org.cn			2.0	180.0	未参评	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			22.0	53310000501780084D
23	2013	上海兴韦信息技术职业学院教育发展基金会	Shanhai Xingwei College Education Develop	沪民基证字第0144号	501782290	推动教育事业的发展，提高教育教学质量和学术水平。本会遵守宪法、法律、法规和国家政策，遵守社会道德风尚。推动博雅教育和教育国际化的发展。基金会公益活动的业务范围：接受捐助，		非公募	地方	省级民政部门	上海市教育委员会	2013-01-04 00:00:00			201300	Shanghai Shi	Shanghai	[31.042744, 121.783394]	http://www.xingweifoundation.org	徐国玮	文凌	项慧	办公室	021-68020485	021-68021309	hui.xiang@xingwei.edu.cn			6.0	0.0	未参评	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			23.0	53310000501782290U
24	2013	上海刘浩清公益基金会	Shanghai Liuhaoqing Charitable Foundation	沪民基证字第0111号	501781394		开展扶贫帮困活动，资助民政社会公益事业，资助教育事业及教育公益事业。  	非公募	地方	省级民政部门	上海市民政局	2010-08-26 00:00:00	200万元		200063	Shanghai Shi	Shanghai	[31.248802, 121.43198]		刘浩清	李大战	史荣盛	理事长助理	021-64680976	021-64680976				0.0	0.0	未参评	0.0	公益性捐赠税前扣除资格																			24.0	53310000501781394N
25	2013	上海医学创新发展基金会	Shanghai Medical Innovation Development F	沪民基证字第0142号	501782231		资助医学研究和医院建设，资助医学人才培养、医院科技创新以及人类健康食品安全的研究与发展。（涉及行政许可的，凭许可证开展业务。）	非公募	地方	省级民政部门	上海市科学技术协会	2012-12-05 00:00:00			200025	Shanghai Shi	Shanghai	[31.212353, 121.47237]		赵佩琪	王波	王波	副理事长兼秘书长	021-63846590					7.0	8.0	未参评	0.0	无																			25.0	53310000501782231Q
26	2013	上海华东政法大学教育发展基金会	East China University of Political Scienc	沪民基证字第0019号	501781669		资助教育项目，资助教学、科研设施改善，资助校园文化建设，资助贫困学生学业，奖励优秀学生优秀教师等。	非公募	地方	省级民政部门	上海市教育委员会	2011-06-10 00:00:00	200万元		201620	Shanghai Shi	Shanghai	[31.055798, 121.200645]		杜志淳	邹荣	吴高升	副秘书长	021-67790419	021-67790419				0.0	5.0	未参评	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			26.0	533100005017816694
27	2013	上海华东理工大学教育发展基金会	Shanghai East China University of Science	沪民基证字第0121号	501781773	汇八方涓流、襄教育伟业，支持高等教育事业发展。	支持高校改善办学条件、扶植学科课程建设，资助学术交流、奖教奖学助学。	非公募	地方	省级民政部门	上海市教育委员会	2011-10-08 00:00:00	200万元		200237	Shanghai Shi	Shanghai	[31.141191, 121.4258]	http://edf.ecust.edu.cn/	沈伟国	钱锋	周霞	干事	020-64251035	020-64251035	ecustedf@ecust.edu.cn			3.0	0.0	未参评	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			27.0	533100005017817738
28	2013	上海华信公益基金会	Shanghai China-Trust Welfare Charity Foun	沪民基证字第0118号	501781618	 由力而起，由善而终，取之社会，回报社会。 	1.扶贫帮困，安老助孤   2.资助社会福利事业  3.资助社会公益事业  4.三属子女教育扶助  5.资助民政部门倡导的其他公益事业	非公募	地方	省级民政部门	上海市民政局	2011-05-03 00:00:00	500万元		200031	Shanghai Shi	Shanghai	[31.209524, 121.43737]	http://www.chinacwcf.org	叶简明	连敏玲	王菊芳	会计	021-64673099	021-64673099	chinacwcf@chinacwcf.org			10.0	25.0	未参评	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			28.0	53310000501781618U
29	2013	上海华杰仁爱基金会	Shanghai Huajie Ren'ai Foundation	沪民基证字第0037号	501779585	充分运用重点企业、相关企业的定向捐助及基金会的原始基金进行合法的增殖运作，在有关民政部门的指导下系统化支持公益事业	关心帮助贫困家庭，开展慈善活动；捐助残疾人家庭困难学生；资助社会公益性项目；实现基金的保值增值； 支持希望工程，每年捐助建设一所希望小学。        	非公募	地方	省级民政部门	上海市民政局	2005-04-04 00:00:00	200万元		200080	Shanghai Shi	Shanghai	[31.279198, 121.49515]	http://www.hjrai.cn	胡金朝	曹群	徐司弩	秘书	021-65604058	021-65604058				1.0	4.0	未参评	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			29.0	533100005017795856
30	2013	上海发展昆剧基金会	Shanghai Kunju Development Foundation	沪民基证字第0050号	501772850		筹集、管理基金，支持、资助有关繁荣发展昆剧事业的各项活动	非公募	地方	省级民政部门	上海市文化广播影视管理局	1992-07-07 00:00:00	200万元		200020	Shanghai Shi	Shanghai	[31.209364, 121.46442]		张静娴	蔡伟	蔡伟	秘书长	021-64374000	021-64313930				0.0	0.0	未参评	0.0	无																			30.0	533100005017728502
31	2013	上海发展研究基金会	Shanghai Development Research Foundation	沪民基证字第0014号	50177483X	以经济建设为中心，坚持党的四项基本原则，坚持改革开放，支持经济、社会、城市发展研究，支持决策咨询工作，为推进上海经济、社会、城市发展，促进决策科学化民主化服务	募集、运作资金，研究、交流、资助、奖励经济、社会、城市发展决策咨询项目	公募	地方	省级民政部门	上海市人民政府发展研究中心	1993-08-13 00:00:00	1,400万元		200023	Shanghai Shi	Shanghai	[31.19319, 121.47295]	http://www.sdrf.org.cn	乔依德	乔依德	夏心欣	秘书长助理	021-62188752	021-62188714	tangzy_sdrf@163.com			7.0	0.0	未参评	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			31.0	5331000050177483X8
32	2013	上海同济大学教育发展基金会	Shanghai Tongji University Education Deve	沪民基证字第0063号	50177993X	遵守宪法和法律、法规和国家政策，遵守社会道德风尚，汇八方涓流，襄教育事业，支持和推动本市高等教育的长远建设和发展。   	接受捐赠；规范运作基金，使其保值增值；合理使用基金，改善办学条件，扶植重点学科，奖励优秀师生。	非公募	地方	省级民政部门	上海市教育委员会	2006-03-26 00:00:00	400万元		200092	Shanghai Shi	Shanghai	[31.284492, 121.50353]	http://fund.tongji.edu.cn	周祖翼	雷星晖	梁春江	副秘书长	021-65983619	021-65983190	fund@tongji.edu.cn			0.0	0.0	未参评	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			32.0	5331000050177993X2
33	2013	上海同济高廷耀环保科技发展基金会	Shanghai Tongji Gao Tingyao Environmental	沪民基证字第0056号	501778750	培养新一代环保专业新型人才；促进中国环保高新技术（产品）的研制和开发；推动中国环境保护科研项目的实施；加速中国环保产业化的可持续性发展。  	接受捐赠资金、资助、培养、奖励环保人才，技术研发、环保合作与交流	非公募	地方	省级民政部门	上海市科学技术委员会	2003-10-31 00:00:00	300万元		200092	Shanghai Shi	Shanghai	[31.284658, 121.49666]	http://www.envir.gov.cn/stgef/	姜富明	周增炎	陶然	办公室主任	021-65985969	021-65985969				1.0	0.0	未参评	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			33.0	53310000501778750P
34	2013	上海向阳公益基金会	Shanghai Xiangyang Foundation	沪民基证字第0122号	501781810	集所有力量，推动社会健康发展。	资助社区公益与老年服务、社区公益事业交流与人才培养、贫困人群健康服务与就业培训等项目。	非公募	地方	省级民政部门	上海市民政局	2011-11-07 00:00:00	300万元		200232	Shanghai Shi	Shanghai	[31.155005, 121.4483]	http://www.sfpwf.org/	汪致重	汪致重	胡皎皎	财务	021-54357212	021-54355335				3.0	0.0	未参评	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			34.0	53310000501781810E
35	2013	上海吴孟超医学科技基金会	Shanghai Wu Mengchao Medical Foundation 	沪民基证字第0003号	501779155	弘扬吴孟超院士的高尚医德和精湛医术， 推动中国医学科学事业不断进步。    	设立医学奖和科研资助项目、专项发展基金；资助学术交流和出版、医学公益事业	非公募	地方	省级民政部门	上海市科学技术委员会	2004-05-26 00:00:00	1,000万元		200438	Shanghai Shi	Shanghai	[31.310152, 121.52953]	http://www.wumengchao.com	吴孟超	李军	邢茂迎	主任	021-81875016	021-81875050	xmyxing@sina.com			1.0	20.0	未参评	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			35.0	53310000501779155C
36	2013	上海唐君远教育基金会	Shanghai Tangjunyuan Education Foundation	沪民基证字第0022号	501777387	本着教育为立国之本，人才为建设之基础的精神，遵照国家培养德、智、体、美全面发展的建设者和接班人的教育方针，支持教育事业，鼓励青少年勤奋学习，立志成才，报效祖国。  	奖励优秀学生、教师，支助贫困学生，捐赠教学设施，按照捐赠人旨意捐助有关教育及人才培养方面的项目，支持教育事业发展。	非公募	地方	省级民政部门	中共上海市委统战部	1999-05-27 00:00:00	4,000万元		200031	Shanghai Shi	Shanghai	[31.219444, 121.45558]	http://www.junyuan.org	唐英年	杨安澜	袁进兴	办公室主任	021-54049788	021-54049788	weihua_mao@email.com			0.0	180.0	未参评	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			36.0	53310000501777387J
37	2013	上海商学院教育发展基金会	Shanghai Business School Education Develo	沪民基证字第0132号	501781992		接受捐赠、运作基金、支持高校改善办学条件，扶持学科建设、奖励优秀师生。（涉及行政许可的，凭许可证开展业务）	非公募	地方	省级民政部门	上海市教育委员会	2012-07-10 00:00:00	200万元		200235	Shanghai Shi	Shanghai	[31.1824, 121.42936]		吴延风	张仲礼	张仲礼	秘书长	021-64870020	021-64227165				0.0	8.0	未参评	0.0	无																			37.0	53310000501781992J
38	2013	上海喜玛拉雅文化艺术基金会	Shanghai Himalaya Culture and Arts Founda	沪民基证字第0133号	50178207-1		资助本市公共文化艺术创新项目，资助年轻艺术家人才的培养工作，资助本市与国际文化艺术界的交流活动。	非公募	地方	省级民政部门	上海市文化广播影视管理局	2012-08-20 00:00:00			200135	Shanghai Shi	Shanghai	[31.227062, 121.56]		屠琤		马真正		021-35366001	021-50339803				6.0	15.0	未参评	0.0	无																			38.0	53310000501782071H
39	2013	上海嘉宝公益基金会	Shanghai Jiabao Welfare Foundation	沪民基证字第0146号	501782354		资助奖励见义勇为者、教育卫生英才；资助社区助老扶老、文化发展等活动。	非公募	地方	省级民政部门	中共上海市社会工作委员会	2013-01-29 00:00:00	2,000万元		201800	Shanghai Shi	Shanghai	[31.384111, 121.24794]		曹萍	陈静	陈静	秘书长	021-59524888	021-59536391				0.0	0.0	未参评	0.0	无																			39.0	53310000501782354R
40	2013	上海国泰君安社会公益基金会	Shanghai Guotai Junan Charitable Foundati	沪民基证字第0126号	501781896		支持社会公益事业；开展扶贫济困、赈灾助残、助学助教活动；为金融人才培训交流、金融宣传研究提供支持；开展其他社会公益项目。	非公募	地方	省级民政部门	上海市金融服务办公室	2012-01-18 00:00:00	450万元		200120	Shanghai Shi	Shanghai	[31.2646, 121.505135]		陈耿	殷伟频	殷伟频	秘书长	021-38674655	021-38674255				0.0	31.0	未参评	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			40.0	533100005017818969
41	2013	上海国际经济交流基金会	Shanghai International Economic Interflow	沪民基证字第0042号	501775330		资助与支持:国内外经济问题的合作与交流;国内外培训、考察；经济问题的咨询、研究.	公募	地方	省级民政部门	上海市人力资源和社会保障局	1994-03-21 00:00:00	600万元		200020	Shanghai Shi	Shanghai	[31.22104, 121.46692]		潘世伟	陆小平	吴蓓秀	办公室副主任	021-53061095	021-53060711				0.0	0.0	未参评	0.0	无																			41.0	533100005017753309
42	2013	上海复大公益基金会	Shanghai Fuda Foundation	沪民基证字第0120号	501781650	支援公益事业，资助优秀公益项目,促进社会公平公正、和谐发展。	开展扶贫帮困、助学、赈灾救助、社区关怀和其他民政类的公益活动。	非公募	地方	省级民政部门	上海市民政局	2011-06-10 00:00:00	500万元		200433	Shanghai Shi	Shanghai	[31.297384, 121.50833]	http://www.fudaclub.org	李元红	龙绍娟	龙绍娟	秘书长	021-65643947	021-65651053				1.0	0.0	未参评	0.0	无																			42.0	533100005017816507
