机构ID	数据年度	机构名称	基金会英文名称	登记证号	组织机构代码	宗旨	业务范围	基金会类型	成立时间	原始基金数额	登记部门	业务主管单位	基金会地址	邮编	秘书长	理事长	对外联系人姓名	联系人职务	联系人固话	联系人传真	联系人电子邮箱	机构官网	负责人中国家工作人员数	负责人中担任过省部级工作人员数	专项基金数	专职工作人员数	志愿者数量	评估情况	税收优惠资格取得情况
10	2014	上海七弦古琴文化发展基金会	Shanghai Seven strings the ch' in Culture Development Foundation	基证字第0116号	501781458	None	资助有示范性、经典性的古琴文化项目，古琴谱、古琴曲、古琴影音文字资料、古琴制作研究、历代古琴收藏修复等保护整理工作，资助古琴艺术人才的培养、其他古琴文化的公益活动。	非公募	2011年01月28日	400万元	省级民政部门	上海市文化广播影视管理局	上海市徐汇区淮海中路1801号	200030	曹怡玲	杨致俭	曹怡玲	秘书长	021-64374111	021-64338583	info@sh-guqin.com	http://www.sh-guqin.com	0.0	0.0	0.0	1.0	20.0	未参评	公益性捐赠税前扣除资格
11	2014	上海万宇慈善基金会	Shanghai wanyu Charity Foundation	沪民基证字第0148号	501782493	None	开展帮困扶贫活动，资助贫困老年和儿童；资助社区防灾减灾活动；开展灾情救助等公益活动；开展其它民政类公益活动。（涉及行政许可的，凭许可证开展业务）	非公募	2013年06月18日	500万元	省级民政部门		上海市黄浦区翔峰路371弄197号402室	201600	邬燕飞	王久林	朱瑛	副理事长	021-37702251	021-37702251		http://wyjjh.com/	0.0	0.0	0.0	0.0	25.0	未参评	公益性捐赠税前扣除资格,非营利组织免税资格
12	2014	上海世华民族艺术瑰宝回归基金会	Shanghai Shihua National Art Treasure Regression Foundation	沪民基证字第0097号	501781028	大力推进“我国文化、文博事业大发展、大繁荣”的精神，弘扬爱国主义精神，积极募集国内外社团、企业和个人的资金抢救保护流失海外的文物艺术珍品回归祖国；征集保护国内流散在民间的文物艺术精品，减少走私流失海外；支持上海市文化、文博事业的繁荣和发展。	征集、回购、收购艺术珍品，开展对艺术珍品的收藏、鉴赏、保护知识的宣传和培训等。	非公募	2009年07月02日	200万元	省级民政部门	上海市文化广播影视管理局	上海市徐汇区嘉善路98号418A室	200031	赵月汀	赵月汀	曹琦	理事长助理	021-63874898	021-63879022			0.0	0.0	0.0	2.0	35.0	未参评	公益性捐赠税前扣除资格,非营利组织免税资格
13	2014	上海东华大学教育发展基金会	Donghua University Education Development Foundation	沪民基证字第0113号	501781415	遵守宪法、法律、法规和国家政策，遵守社会道德风尚，汇八方涓流、襄教育伟业，全面支持和推动高等教育事业的长远建设和发展，为社会公益事业服务。	接受捐赠、运作基金、改善办学条件、扶植重点学科、奖教奖学、促进国际交流。	非公募	2010年09月21日	500万元	省级民政部门	上海市教育委员会	上海市松江区人民北路2999号行政楼407室	201620	徐晶	朱民	徐晶	秘书长	021-62378236	021-62373627	ddl@dhu.edu.cn	http://edf.dhu.edu.cn	0.0	0.0	0.0	0.0	0.0	未参评	公益性捐赠税前扣除资格,非营利组织免税资格
14	2014	上海东方文化艺术基金会	Shanghai Dongfang Cultural Art Foundation	沪民基证字第0095号	501780893	筹措、管理文化艺术基金；资助、扶持公益文化艺术项目；承办政府委托文化工作事项；资助优秀艺术人才深造和艺术实践活动；奖励优秀文艺项目和文艺人才；推动文化创新，促进文化交流。	筹措、管理文化艺术基金；资助、扶持公益文化艺术项目；承办政府委托文化工作事项；资助优秀艺术人才深造和艺术实践活动；奖励优秀文艺项目和文艺人才；推动文化创新，促进文化交流。	非公募	2009年05月14日	500万元	省级民政部门	中共上海市委宣传部	上海市徐汇区石龙路395号	200237	陈曦	陈曦	沙菁	财务	021-62196197	021-62093674	socaf@socaf.com.cn		0.0	0.0	0.0	4.0	60.0	未参评	公益性捐赠税前扣除资格,非营利组织免税资格
15	2014	上海东方爱心基金会	Shanghai Eastern Benevolence Foundation	沪民基证字第0080号	50178056X	遵守《中华人民共和国宪法》和国家有关法律法规，努力发挥社会保障的辅助作用，传播爱心文化，弘扬爱心精神，培养爱心使者，开展帮贫济困，助老扶幼的公益活动，为构建社会主义和谐社会贡献力量。	资助困难儿童、资助贫困育龄妇女和军嫂、资助贫困高龄老人。	非公募	2008年03月20日	200万元	省级民政部门	上海市民政局	上海市浦东新区桃林路18号环球广场A楼707室	200135	王丽	林冬生	王丽	办公室主任	021-50937502	021-50937503	easternloving@sina.com	http://www.dfax.org.cn	0.0	0.0	0.0	0.0	12.0	未参评	公益性捐赠税前扣除资格,非营利组织免税资格
16	2014	上海中华职业教育温暖工程基金会	Shanghai Vocational Education Foundation for warmth project  of China	沪民基证字第0076号	501780420	本基金会弘扬中华职业教青社“使无业者有业，使有业者乐业”的优良传统，传承中华职业教育社倡导开展的温暖工程薪火，多渠道筹集资金，深入推进温暖工程项目，积极推动和发展上海职业教育事业。	筹集、管理、使用基金；资助与职业教育改革、职业教育事业发展和温暖工程有关的项目和活动。	非公募	2007年09月20日	200万元	省级民政部门	中共上海市委统战部	上海市黄浦区雁荡路80号408室	200020	张界红	于东元	邵婷	会计	021-53861180	021-53861180	wngcjjh@sina.com	http://www.shzhzjs.cn/sh_zhzjs/home/wngcjjh/index.jsp	0.0	0.0	0.0	1.0	0.0	未参评	公益性捐赠税前扣除资格,非营利组织免税资格
17	2014	上海中欧国际工商学院教育发展基金会	CEIBS Education Development Foundation	沪民基证字第0036号	501779569	推动中欧国际工商学院的发展	支持工商管理的教学,研究活动吸收优秀师资和生源确保基金的保值增值	非公募	2005年03月28日	300万元	省级民政部门	上海市教育委员会	上海市浦东新区红枫路699号	201206	葛俊	李铭俊	李晓舟	副秘书长	021-28905123	021-28905890	ldavid@ceibs.edu	http://www.ceibs.edu/foundation_c/index.shtml	0.0	0.0	0.0	8.0	0.0	未参评	公益性捐赠税前扣除资格,非营利组织免税资格
18	2014	上海交响乐团文化发展基金会	Shanghai Symphonec Music Development Foundation	沪民基证字第0034号	501772770	None	组织交响乐新作品的创作、排练和演出；组织对交响音乐的普及工作及音像作品的录制和编辑；资助优秀交响音乐精品和项目。	非公募	1992年06月19日	400万元	省级民政部门	上海市文化广播影视管理局	上海市徐汇区湖南路105号	200031	陈光宪	陈屹	张晓维	联络人	021-24266021	021-64730381	vidawei@163.com	http://www.shsymphony.com/page-view-id-25.html	0.0	0.0	0.0	2.0	0.0	5A	公益性捐赠税前扣除资格,非营利组织免税资格
19	2014	上海交通大学教育发展基金会	Shanghai Jiao Tong University Education Development Foundation	沪民基证字第0007号	501777985	为推动上海交通大学教育事业的发展，多渠道筹集办学资金，争取国内外的企业、社会团体、个人的支持和捐助，提高教育质量和学术水平。	改善办学设施，包括建筑物、仪器设备、图书资料等；资助基础研究、教学研究；资助教师出国深造及参加国际学术会议；奖励优秀学生和优秀教师，资助贫困学生等。	非公募	2005年01月27日	1,000万元	省级民政部门	上海市教育委员会	上海市闵行区华山路1954号	200030	马磊	姜斯宪	贺瞿	办公室副主任	021-34201463	021-54742202	present@sjtu.org	http://foundation.sjtu.edu.cn/Index/index.php	0.0	0.0	0.0	0.0	15.0	5A	公益性捐赠税前扣除资格,非营利组织免税资格
20	2014	上海仁德基金会	Shanghai Rende Foundation	沪民基证字第0123号	501781829	服务社会，造福人群，推动公益创新，促进社会和谐	资助和开展公益项目、公益行业支持、公益交流、研究、宣传及其他	公募	2011年12月07日	400万元	省级民政部门	上海市民政局	上海市浦东新区峨山路633号5号楼B208室	200127	唐海燕	丘仲辉	林佳	财务	021-60470268	021-60470277	info@rendefoundation.org	http://www.rendefoundation.org	0.0	0.0	8.0	9.0	11.0	未参评	公益性捐赠税前扣除资格,非营利组织免税资格
21	2014	上海公安金盾基金会	Shanghai Public Security Golden Shield Foundation	沪民基证字第0109号	501781378	抚慰英烈、弘扬正气、凝聚警心、激励警志。	资助公安优抚工作及褒奖慰问优秀民警、家属等各项公益活动。	公募	2010年07月30日	14,000万元	省级民政部门	上海市公安局	上海市静安区武宁南路128号B区806、807室	200042	赵杰英	王培生	杨智瑜	内勤	021-22020947	0212-2020943	jdjjh@shanghai.gov.cn		0.0	0.0	0.0	0.0	0.0	未参评	公益性捐赠税前扣除资格,非营利组织免税资格
22	2014	上海兴华教育扶贫基金会	Shanghai Xinghua Education Fund	沪民基证字第0070号	501780084	通过对我国农村贫困地区家庭子女提供资助，为受助学生提供更多的平等教育机会。通过接受教育，创造发展机会，改变贫困命运；同时倡导“人人爱我、我爱人人”的社会互助精神，为中华之振兴培养有用人才。	资助农村贫困家庭子女就学，资助师资培训，资助农村义务教育事业	非公募	2006年09月05日	200万元	省级民政部门	上海市民政局	上海市长宁区虹桥路977号中山广场第二座36楼B座	200051	张开冰	王韬	曾庆忠	项目总监	021-62787150	021-62090370	info@xinghua.org.cn	http://www.xinghua.org.cn	0.0	0.0	0.0	2.0	160.0	未参评	公益性捐赠税前扣除资格,非营利组织免税资格
23	2014	上海兴韦信息技术职业学院教育发展基金会	Shanhai Xingwei College Education Development Foundation	沪民基证字第0144号	501782290	推动教育事业的发展，提高教育教学质量和学术水平。基金会遵守宪法、法律、法规和国家政策，遵守社会道德风尚。推动博雅教育和教育国际化的发展。	接受捐助，管理运作基金，资助学校教学设施的改善、基础学科、教学与实践研究和著作出版、教师深造、学术合作与交流，资助贫困学生，奖励优秀师生。	非公募	2013年01月04日	200万元	省级民政部门	上海市教育委员会	上海市南汇区南汇科教园区勤奋路1号行政楼205室	201300	文凌	毛伟雄	项慧	办公室	021-68020485	021-68021309	hui.xiang@xingwei.edu.cn	http://www.xingweifoundation.org	0.0	0.0	0.0	6.0	0.0	未参评	公益性捐赠税前扣除资格,非营利组织免税资格
24	2014	上海刘浩清公益基金会	Shanghai Liuhaoqing Charitable Foundation	沪民基证字第0111号	501781394	None	开展扶贫帮困活动，资助民政社会公益事业，资助教育事业及教育公益事业。	非公募	2010年08月26日	200万元	省级民政部门	上海市民政局	上海市普陀区中山北路2000号中期大厦2楼东	200063	李大战	刘浩清	史荣盛	理事长助理	021-64682182	021-64682182									公益性捐赠税前扣除资格
25	2014	上海医学创新发展基金会	Shanghai Medical Innovation Development Foundation	沪民基证字第0142号	501782231	“创新驱动，转型发展”，促进医学科技进步和人类健康为目标，推动医学协同科技创新以及转化医学对医学健康卫生事业的积极影响、转化研究型医院建设以及医学科技、教育和医院管理创新人才的引进和培养。本基金会遵守中华人民共和国宪法、法律、法规和政策，遵守社会道德	资助医学研究和医院建设，资助医学人才培养、医院科技创新以及人类健康食品安全的研究与发展。（涉及行政许可的，凭许可证开展业务。）	非公募	2012年12月05日	200万元	省级民政部门	上海市科学技术协会	上海市黄浦区重庆南路227号4舍209室	200025	王波	赵佩琪	陈苇伊	财务	021-63846590	021-64662101		http://www.smidf.org.cn/							无
26	2014	上海华东政法大学教育发展基金会	East China University of Political Science and Law Education Development Foundation	沪民基证字第0019号	501781669	None	资助教育项目，资助教学、科研设施改善，资助校园文化建设，资助贫困学生学业，奖励优秀学生优秀教师等。	非公募	2011年06月10日	200万元	省级民政部门	上海市教育委员会	上海市松江区龙源路555号明镜楼B102室	201620	戴莹	曹文泽	吴高升	副秘书长	021-67790419	021-67790419		http://edf.ecupl.edu.cn/site/hdzfjjh/ecupl_b/index/	0.0	0.0	0.0	0.0	0.0	未参评	公益性捐赠税前扣除资格,非营利组织免税资格
27	2014	上海华东理工大学教育发展基金会	Shanghai East China University of Science and Technology Education Development Foundation	沪民基证字第0121号	501781773	汇八方涓流、襄教育伟业，支持高等教育事业发展。	支持高校改善办学条件、扶植学科课程建设，资助学术交流、奖教奖学助学。	非公募	2011年10月08日	200万元	省级民政部门	上海市教育委员会	上海市徐汇区梅陇路130号和平楼215室	200237	李建伟	杜慧芳	周霞	干事	020-64251035	020-64253501	ecustedf@ecust.edu.cn	http://edf.ecust.edu.cn/	0.0	0.0	0.0	2.0	0.0	未参评	公益性捐赠税前扣除资格,非营利组织免税资格
28	2014	上海华信公益基金会	Shanghai China-Trust Welfare Charity Foundation	沪民基证字第0118号	501781618	由力而起，由善而终，取之社会，回报社会。	1.扶贫帮困，安老助孤2.资助社会福利事业3.资助社会公益事业4.三属子女教育扶助5.资助民政部门倡导的其他公益事业	非公募	2011年05月03日	500万元	省级民政部门	上海市民政局	上海市徐汇区高邮路58号	200031	郑个福	叶简明	李海艳	行政人事副经理	021-64673177	021-64673700		http://www.chinacwcf.org	0.0	0.0	0.0	9.0	96.0	未参评	公益性捐赠税前扣除资格,非营利组织免税资格
29	2014	上海华杰仁爱基金会	Shanghai Huajie Ren'ai Foundation	沪民基证字第0037号	501779585	充分运用重点企业、相关企业的定向捐助及基金会的原始基金进行合法的增殖运作，在有关民政部门的指导下系统化支持公益事业	关心帮助贫困家庭，开展慈善活动；捐助残疾人家庭困难学生；资助社会公益性项目；实现基金的保值增值；支持希望工程，每年捐助建设一所希望小学。	非公募	2005年04月04日	200万元	省级民政部门	上海市民政局	上海市虹口区玉田路195号	200080	曹群	胡金朝	徐司弩	外联	021-65604058	021-55380623		http://www.hjrai.cn	0.0	0.0	0.0	2.0	5.0	未参评	公益性捐赠税前扣除资格,非营利组织免税资格
30	2014	上海发展昆剧基金会	Shanghai Kunju Development Foundation	沪民基证字第0050号	501772850	None	筹集、管理基金，支持、资助有关繁荣发展昆剧事业的各项活动	非公募	1992年07月07日	200万元	省级民政部门	上海市文化广播影视管理局	上海市卢湾区绍兴路9号	200020	蔡伟	张静娴	蔡伟	秘书长	021-64374000	021-64373930			0.0	0.0	0.0	0.0	0.0	未参评	无
31	2014	上海发展研究基金会	Shanghai Development Research Foundation	沪民基证字第0014号	50177483X	以经济建设为中心，坚持党的四项基本原则，坚持改革开放，支持经济、社会、城市发展研究，支持决策咨询工作，为推进上海经济、社会、城市发展，促进决策科学化民主化服务	募集、运作资金，研究、交流、资助、奖励经济、社会、城市发展决策咨询项目	公募	1993年08月13日	1,400万元	省级民政部门	上海市人民政府发展研究中心	上海市黄浦区龙华东路868号办公楼A区22楼2201室	200023	乔依德	乔依德	夏心欣	秘书长助理	021-62188752	021-62188804	tangzy_sdrf@163.com	http://www.sdrf.org.cn	0.0	0.0	0.0	9.0	0.0	未参评	公益性捐赠税前扣除资格,非营利组织免税资格
32	2014	上海同济大学教育发展基金会	Shanghai Tongji University Education Development Foundation	沪民基证字第0063号	50177993X	遵守宪法和法律、法规和国家政策，遵守社会道德风尚，汇八方涓流，襄教育事业，支持和推动本市高等教育的长远建设和发展。	接受捐赠；规范运作基金，使其保值增值；合理使用基金，改善办学条件，扶植重点学科，奖励优秀师生。	非公募	2006年03月26日	400万元	省级民政部门	上海市教育委员会	上海市杨浦区四平路1239号同济大学逸夫楼104、106室	200092	李建昌	杨贤金	李建昌	秘书长	021-65981568	021-65983190	fund@tongji.edu.cn	http://fund.tongji.edu.cn	0.0	0.0	0.0	0.0	0.0	3A	公益性捐赠税前扣除资格,非营利组织免税资格
33	2014	上海同济高廷耀环保科技发展基金会	Shanghai Tongji Gao Tingyao Environmental Science and Technology Development Foundation	沪民基证字第0056号	501778750	培养新一代环保专业新型人才；促进中国环保高新技术（产品）的研制和开发；推动中国环境保护科研项目的实施；加速中国环保产业化的可持续性发展。	接受捐赠资金、资助、培养、奖励环保人才，技术研发、环保合作与交流	非公募	2003年10月31日	300万元	省级民政部门	上海市科学技术委员会	上海市杨浦区密云路588号	200092	周增炎	姜富明	陶然	办公室主任	021-65985969	021-65985969		http://www.envir.gov.cn/stgef/	0.0	0.0	0.0	2.0	0.0	未参评	公益性捐赠税前扣除资格,非营利组织免税资格
34	2014	上海向阳公益基金会	Shanghai Xiangyang Foundation	沪民基证字第0122号	501781810	集所有力量，推动社会健康发展。	资助社区公益与老年服务、社区公益事业交流与人才培养、贫困人群健康服务与就业培训等项目。	非公募	2011年11月07日	300万元	省级民政部门	上海市民政局	上海市徐汇区龙吴路585号东座3号	200232	汪致重	汪致重	胡皎皎	财务	021-54357212	021-54355335		http://www.sfpwf.org/	0.0	0.0	0.0	3.0	0.0	未参评	公益性捐赠税前扣除资格,非营利组织免税资格
35	2014	上海吴孟超医学科技基金会	Shanghai Wu Mengchao Medical Foundation 	沪民基证字第0003号	501779155	弘扬吴孟超院士的高尚医德和精湛医术，推动中国医学科学事业不断进步。	设立医学奖和科研资助项目、专项发展基金；资助学术交流和出版、医学公益事业	非公募	2004年05月26日	1,000万元	省级民政部门	上海市科学技术委员会	上海市杨浦区长海路225号2号楼16楼	200438	李军	吴孟超	张云	办公室工作人员	021-81875050	021-81875050	xmyxing@sina.com	http://www.wumengchao.com	0.0	0.0	0.0	0.0	15.0	未参评	公益性捐赠税前扣除资格,非营利组织免税资格
36	2014	上海唐君远教育基金会	Shanghai Tangjunyuan Education Foundation	沪民基证字第0022号	501777387	本着教育为立国之本，人才为建设之基础的精神，遵照国家培养德、智、体、美全面发展的建设者和接班人的教育方针，支持教育事业，鼓励青少年勤奋学习，立志成才，报效祖国。	奖励优秀学生、教师，支助贫困学生，捐赠教学设施，按照捐赠人旨意捐助有关教育及人才培养方面的项目，支持教育事业发展。	非公募	1999年05月27日	4,000万元	省级民政部门	中共上海市委统战部	上海市徐汇区长乐路339弄甲支弄9号	200031	金同康	唐英年	袁进兴	办公室主任	021-54049788	021-54049788	weihua_mao@email.com	http://www.junyuan.org	0.0	0.0	0.0	0.0	134.0	5A	公益性捐赠税前扣除资格,非营利组织免税资格
37	2014	上海商学院教育发展基金会	Shanghai Business School Education Development Foundation	沪民基证字第0132号	501781992	遵守中华人民共和国宪法、法律、法规和国家政策，遵守社会道德风尚，汇八方涓流，襄教育事业，支持和推动本市高等教育的长远建设和发展，为国家培育更多更好的优秀人才。	接受捐赠、运作基金、支持高校改善办学条件，扶持学科建设、奖励优秀师生。（涉及行政许可的，凭许可证开展业务）	非公募	2012年07月10日	200万元	省级民政部门	上海市教育委员会	上海市徐汇区中山西路2271号1209室	200235	张仲礼	吴延风	张仲礼	秘书长	021-64227165	021-64227165		http://www.sbs.edu.cn/jyfzjjh/	0.0	0.0	0.0	0.0	56.0	未参评	无
38	2014	上海喜玛拉雅文化艺术基金会	Shanghai Himalaya Culture and Arts Foundation	沪民基证字第0133号	50178207-1	None	资助本市公共文化艺术创新项目，资助年轻艺术家人才的培养工作，资助本市与国际文化艺术界的交流活动。	非公募	2012年08月20日	200万元	省级民政部门	上海市文化广播影视管理局	上海市浦东新区芳甸路199弄28号	200135	马真正	屠琤	马真正	执行秘书长	021-35366001	51988900			0.0	0.0	0.0	6.0	2.0	未参评	无
39	2014	上海嘉宝公益基金会	Shanghai Jiabao Welfare Foundation	沪民基证字第0146号	501782354	None	资助奖励见义勇为者、教育卫生英才；资助社区助老扶老、文化发展等活动。	非公募	2013年01月29日	2,000万元	省级民政部门	中共上海市社会工作委员会	上海市嘉定区清河路55号607室	201800	陈静	曹萍	陈静	秘书长	021-59524888	021-59536391			0.0	0.0	0.0	0.0	0.0	未参评	无
40	2014	上海国泰君安社会公益基金会	Shanghai Guotai Junan Charitable Foundation	沪民基证字第0126号	501781896	None	支持社会公益事业；开展扶贫济困、赈灾助残、助学助教活动；为金融人才培训交流、金融宣传研究提供支持；开展其他社会公益项目。	非公募	2012年01月18日	450万元	省级民政部门	上海市金融服务办公室	上海市虹口区银城中路168号上海银行大厦7楼705室	200120	殷伟频	陈耿	殷伟频	秘书长	021-38674655	021-38674255		http://www.gtjagy.com/							公益性捐赠税前扣除资格,非营利组织免税资格
41	2014	上海国际经济交流基金会	Shanghai International Economic Interflow Foundation	沪民基证字第0042号	501775330	None	资助与支持:国内外经济问题的合作与交流;国内外培训、考察；经济问题的咨询、研究.	公募	1994年03月21日	600万元	省级民政部门	上海市人力资源和社会保障局	上海市黄浦区淮海中路622弄7号社科大楼462室	200020	陆小平	潘世伟	吴蓓秀	办公室主任	021-53061095	021-53060711			0.0	0.0	0.0	0.0	0.0	未参评	无
42	2014	上海复大公益基金会	Shanghai Fuda Foundation	沪民基证字第0120号	501781650	支援公益事业，资助优秀公益项目,促进社会公平公正、和谐发展。	开展扶贫帮困、助学、赈灾救助、社区关怀和其他民政类的公益活动。	非公募	2011年06月10日	500万元	省级民政部门	上海市民政局	上海市杨浦区国定路335号2号楼812室	200433	龙绍娟	李元红	龙绍娟	秘书长	021-55666862	021-55666821		http://www.fudaclub.org	0.0	0.0	0.0	1.0	0.0	未参评	无
43	2014	上海复旦大学教育发展基金会	Fudan University Education Development Foundation	沪民基证字第0001号	501779147	遵守宪法和法律、法规和国家政策，遵守社会道德风尚，汇八方涓流，襄教育事业，支持和推动本市高等教育的长远建设和发展。	接受和管理社会各界给予复旦大学的捐赠，用于更新教学、科研、图书及信息设施，延揽中外名师，扶植重点学科、重点实验室，奖励作出突出贡献的优秀教职工，奖助品学兼优的学生及家庭困难的学生，资助优秀师生出国深造、参与国际学术交流，以及一切有利于促进复旦大学教育事业发展的项目。	非公募	2004年06月01日	400万元	省级民政部门	上海市教育委员会	上海市杨浦区邯郸路220号复旦大学1号楼1楼	200433	潘俊	张志勇	孙校会	秘书处信息部副部长	021-55664930	021-65648138	service@fuedf.org	http://cn.fuedf.org	0.0	0.0	0.0	9.0	32.0	5A	公益性捐赠税前扣除资格,非营利组织免税资格
44	2014	上海复星公益基金会	Shanghai Fuxing Charitable Foundation	沪民基证字第0135号	501782119	None	自然灾害救助、扶贫助残、资助文化公益事业、资助教育公益事业、资助青年创业就业及其他社会公益事业。	非公募	2012年09月29日	1,000万元	省级民政部门	上海市工商业联合会	上海市黄浦区复兴东路2号401室	200010	张立琪	吴平	张立琪	秘书长	021-23156629	021-23156610		http://www.fosun.com	0.0	0.0	0.0	0.0	80.0	未参评	公益性捐赠税前扣除资格,非营利组织免税资格
