机构ID	机构名称	数据年度	捐赠收入_限定	会费收入_限定	提供服务收入_限定	政府购买服务收入_限定	商品销售收入_限定	政府补助收入_限定	投资收益_限定	其他收入_限定	收入合计_限定	业务活动成本_限定	管理费用_限定	筹资费用_限定	其他费用_限定	费用合计_限定	限定性净资产转为非限定性净资产_限定	调整净资产_限定	净资产变动额（若为净资产减少额，以“-”号填列）_限定	捐赠收入_非限定	会费收入_非限定	提供服务收入_非限定	政府购买服务收入_非限定	商品销售收入_非限定	政府补助收入_非限定	投资收益_非限定	其他收入_非限定	收入合计_非限定	业务活动成本_非限定	管理费用_非限定	筹资费用_非限定	其他费用_非限定	费用合计_非限定	限定性净资产转为非限定性净资产_非限定	调整净资产_非限定	净资产变动额（若为净资产减少额，以“-”号填列）_非限定
11	上海万宇慈善基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	600,000.00	0.00	0.00	0.00	0.00	0.00	189,845.07	0.00	789,845.07	336,000.00	9,500.00	0.00	42.00	345,542.00	0.00		444,303.07
12	上海世华民族艺术瑰宝回归基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	508,000.00	0.00	0.00	0.00	0.00	0.00	0.00	30.32	508,030.32	367,151.64	11,403.33	0.00	0.00	378,554.97	0.00		129,475.35
13	上海东华大学教育发展基金会	2014	8,315,755.42	0.00	0.00	0.00	0.00	0.00	0.00	67,024.09	8,382,779.51	7,362,765.00	0.00	0.00	0.00	7,362,765.00	0.00		1,020,014.51	400,000.00	0.00	0.00	0.00	0.00	0.00	0.00	638,439.15	1,038,439.15	0.00	16,691.00	0.00	0.00	16,691.00	0.00		1,021,748.15
14	上海东方文化艺术基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	500,000.00	0.00	0.00	0.00	0.00	0.00	0.00	4,274.85	504,274.85	2,699,944.98	289,732.77	0.00	23,517.76	3,013,195.51	0.00		-2,508,920.66
15	上海东方爱心基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	98,424.72	0.00	0.00	0.00	98,424.72	0.00		-98,424.72	30,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	30,000.00	0.00	9,734.80	1,219.13	0.00	10,953.93	0.00		19,046.07
16	上海中华职业教育温暖工程基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	80,000.00	0.00	0.00	0.00	0.00	0.00	446.41	105,121.95	185,568.36	320,000.00	22,636.43	0.00	0.00	342,636.43	0.00		-157,068.07
17	上海中欧国际工商学院教育发展基金会	2014	32,163,038.26	0.00	0.00	0.00	0.00	0.00	799,999.70	0.00	32,963,037.96	22,609,976.21	0.00	-81,601.91	199,999.93	22,728,374.23	-1,057,864.10		9,176,799.63	22,448,646.10	0.00	0.00	0.00	0.00	0.00	836,128.00	0.00	23,284,774.10	6,267,299.50	2,429,918.39	-1,822,642.92	209,032.00	7,083,606.97	1,057,864.10		17,259,031.23
18	上海交响乐团文化发展基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	6,033,000.00	0.00	0.00	0.00	0.00	0.00	3,021,917.81	308,898.17	9,363,815.98	5,155,102.90	79,352.96	0.00	0.00	5,234,455.86	0.00		4,129,360.12
19	上海交通大学教育发展基金会	2014	100,998,668.83	0.00	0.00	0.00	0.00	0.00	25,431,695.02	0.00	126,430,363.85	0.00	0.00	0.00	0.00	0.00	-78,789,634.49		47,640,729.36	56,209,475.81	0.00	0.00	0.00	0.00	0.00	27,120,200.90	720,717.45	84,050,394.16	80,304,449.77	193,844.74	-35.14	0.00	80,498,259.37	78,789,634.49		82,341,769.28
20	上海仁德基金会	2014	1,917,066.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1,917,066.55	0.00	0.00	0.00	0.00	0.00	0.00		0.00	357,412.72	0.00	0.00	0.00	0.00	0.00	307,035.43	6,433.23	670,881.38	3,015,901.89	254,250.42	117,155.44	2,941.31	3,390,249.06	0.00		-2,719,367.68
21	上海公安金盾基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	40,000.00	0.00	0.00	0.00	40,000.00	0.00		-40,000.00	0.00	0.00	0.00	0.00	0.00	0.00	4,492,227.40	1,319,642.88	5,811,870.28	9,973,654.50	121,992.95	17,880.00	0.00	10,113,527.45	0.00		-4,301,657.17
22	上海兴华教育扶贫基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	16,459,323.71	0.00	0.00	0.00	0.00	0.00	3,240,153.69	43,705.71	19,743,183.11	5,842,431.91	508,276.23	788.69	-1,854,746.27	4,496,750.56	0.00		15,246,432.55
23	上海兴韦信息技术职业学院教育发展基金会	2014	11,330,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11,330,000.00	11,400,000.00	0.00	0.00	0.00	11,400,000.00	0.00		-70,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1,944.47	1,944.47	0.00	11,062.00	665.00	0.00	11,727.00	0.00		-9,782.53
24	上海刘浩清公益基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	203.21	203.21	0.00	3,000.00	0.00	0.00	3,000.00	0.00		-2,796.79
25	上海医学创新发展基金会	2014	15,060,066.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15,060,066.00	0.00	0.00	0.00	0.00	0.00	-10,949,878.83		4,110,187.17	0.00	0.00	13,769,364.70	0.00	0.00	0.00	0.00	72,594.19	13,841,958.89	25,268,611.78	521,855.67	2,967.69	109,137.98	25,902,573.12	10,949,878.83		-1,110,735.40
26	上海华东政法大学教育发展基金会	2014	3,642,545.76	0.00	0.00	0.00	0.00	0.00	39,000.00	0.00	3,681,545.76	3,171,902.50	0.00	0.00	0.00	3,171,902.50	1,000,000.00		1,509,643.26	1,000.00	0.00	0.00	0.00	0.00	0.00	156,000.00	36,279.88	193,279.88	76,600.00	124,206.40	0.00	0.00	200,806.40	-1,000,000.00		-1,007,526.52
27	上海华东理工大学教育发展基金会	2014	6,413,836.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6,413,836.06	2,870,876.85	0.00	0.00	0.00	2,870,876.85	0.00		3,542,959.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	74,925.08	74,925.08	0.00	63,109.23	0.00	0.00	63,109.23	0.00		11,815.85
28	上海华信公益基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	19,632,017.08	0.00	0.00	0.00	0.00	0.00	0.00	1,010,315.76	20,642,332.84	19,036,622.02	1,433,129.51	4,481.98	0.00	20,474,233.51	0.00		168,099.33
29	上海华杰仁爱基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	870,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	870,000.00	753,174.60	72,191.15	0.00	0.00	825,365.75	0.00		44,634.25
30	上海发展昆剧基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	67,166.52	67,166.52	231,594.27	54,303.41	0.00	0.00	285,897.68	0.00		-218,731.16
31	上海发展研究基金会	2014	1,300,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1,300,000.00	1,817,692.68	626,205.08	0.00	0.00	2,443,897.76	0.00		-1,143,897.76	419,791.66	0.00	0.00	0.00	0.00	0.00	1,383,071.35	12,484.78	1,815,347.79	1,069,162.24	777,496.27	0.00	0.00	1,846,658.51	0.00		-31,310.72
32	上海同济大学教育发展基金会	2014	79,840,193.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	79,840,193.45	43,102,975.48	0.00	-584,293.18	0.00	42,518,682.30	0.00		37,321,511.15	503,784.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	503,784.50	1,078,000.00	488,557.06	-3,632,322.43	0.00	-2,065,765.37			2,569,549.87
33	上海同济高廷耀环保科技发展基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	1,650,000.00	0.00	0.00	0.00	0.00	0.00	0.00	38,930.22	1,688,930.22	661,993.04	42,755.96	0.00	0.00	704,749.00	0.00		984,181.22
34	上海向阳公益基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	10,000,000.00	0.00	0.00	0.00	0.00	0.00	0.00	20,950.67	10,020,950.67	550,000.00	67,519.50	0.00	0.00	617,519.50	0.00		9,403,431.17
35	上海吴孟超医学科技基金会	2014	29,664.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	29,664.00	29,836.00	0.00	0.00	0.00	29,836.00	66,452.31		66,280.31	2,108,000.00	0.00	0.00	0.00	0.00	0.00	0.00	7,831.21	2,115,831.21	2,572,540.00	124,809.15	0.00	0.00	2,697,349.15	-66,452.31		-647,970.25
36	上海唐君远教育基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4,602,789.16	0.00	4,602,789.16	-4,184,516.57		-4,184,516.57	17,070,000.00	0.00	0.00	0.00	0.00	0.00	12,811,019.10	448,994.48	30,330,013.58	14,124,479.14	662,268.91	-4,602,789.16	86,695.00	10,270,653.89	4,184,516.57		24,243,876.26
37	上海商学院教育发展基金会	2014	379,740.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	379,740.17	470,650.17	0.00	0.00	0.00	470,650.17	0.00		-90,910.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	96,465.70	96,465.70	8,854.00	0.00	0.00	0.00	8,854.00	0.00		87,611.70
38	上海喜玛拉雅文化艺术基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	8,214,258.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8,214,258.90	7,000,000.00	458,994.60	58,373.63	-58,373.63	7,458,994.60	0.00		813,637.93
39	上海嘉宝公益基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1,050,000.00	0.00	0.00	0.00	1,050,000.00	0.00		-1,050,000.00	0.00	0.00	0.00	0.00	0.00	0.00	1,452,333.33	898.82	1,453,232.15	0.00	2,000.00	0.00	0.00	2,000.00	0.00		1,451,232.15
40	上海国泰君安社会公益基金会	2014	130,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	130,000.00	0.00	0.00	0.00	0.00	0.00	-100,000.00		30,000.00	4,706,940.00	0.00	0.00	0.00	0.00	0.00	454,717.80	0.00	5,161,657.80	11,322,978.60	29,710.50	-10,878.51	0.00	11,341,810.59	100,000.00		-6,080,152.79
41	上海国际经济交流基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	1,059,599.08	0.00	1,059,599.08	696,606.60	88,679.70	-816.39	-80,359.50	704,110.41	0.00		355,488.67
42	上海复大公益基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	613,500.00	0.00	0.00	0.00	0.00	0.00	0.00	241,416.33	854,916.33	330,000.00	27,317.46	0.00	0.00	357,317.46	0.00		497,598.87
43	上海复旦大学教育发展基金会	2014	80,911,594.86	0.00	0.00	0.00	0.00	0.00	2,054,227.55	0.00	82,965,822.41	0.00	0.00	0.00	0.00	0.00	-47,120,136.78		35,845,685.63	737,722.16	0.00	0.00	0.00	0.00	0.00	254,905.47	4,482,452.03	5,475,079.66	47,188,448.98	2,104,460.18	-1,562,418.36	0.00	47,730,490.80	47,120,136.78		4,864,725.64
44	上海复星公益基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	39,562,665.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	39,562,665.00	34,824,933.72	500,450.00	-24,677.04	0.00	35,300,706.68	0.00		4,261,958.32
45	上海夏征农民族文化教育发展基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	9,677,302.45	0.00	0.00	0.00	0.00	0.00	80,637.02	0.00	9,757,939.47	10,046,734.20	371,755.07	-1,297.93	1,297.93	10,418,489.27	0.00		-659,251.87
46	上海外国语大学教育发展基金会	2014	3,075,741.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3,075,741.93	887,796.66	0.00	0.00	0.00	887,796.66	0.00		2,187,945.27	1,289,975.00	0.00	0.00	0.00	0.00	0.00	0.00	264,575.52	1,554,550.52	1,712,278.00	143,598.70	1,857.38	0.00	1,857,734.08	0.00		-303,183.56
47	上海大成慈善基金会	2014	542,500.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	542,500.00	0.00	0.00	0.00	0.00	0.00	-542,500.00		0.00	3,212,500.00	0.00	0.00	0.00	0.00	0.00	0.00	3,642.11	3,216,142.11	742,000.00	71,576.93	1,064.17	0.00	814,641.10	542,500.00		2,944,001.01
48	上海天下文化发展基金会	2014	500,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	500,000.00	500,000.00	7,600.00	0.00	2,155.75	509,755.75	0.00		-9,755.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00
49	上海宇兴爱心慈善基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	102,994.26	0.00	0.00	0.00	0.00	0.00	56,934.26	4,887.50	164,816.02	167,605.99	11,617.81	0.00	1,611.20	180,835.00	0.00		-16,018.98
50	上海宋庆龄基金会	2014	32,134,252.44	0.00	0.00	0.00	0.00	0.00	23,107,750.00	0.00	55,242,002.44	0.00	0.00	0.00	0.00	0.00	-38,928,170.10		16,313,832.34	-1,496,524.77	0.00	0.00	0.00	0.00	0.00	5,639,735.90	1,130,701.36	5,273,912.49	45,066,025.02	4,058,718.13	0.00	0.00	49,124,743.15	38,928,170.10		-4,922,660.56
51	上海富国环保公益基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	1,300,000.00	0.00	0.00	0.00	0.00	0.00	85,850.44	3,049.32	1,388,899.76	760,819.80	31,662.36	0.00	3,000.00	795,482.16	0.00		593,417.60
52	上海工商界爱国建设特种基金会	2014	10,000,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10,000,000.00	0.00	0.00	0.00	0.00	0.00	0.00		10,000,000.00	0.00	0.00	0.00	0.00	0.00	0.00	7,149,155.60	0.00	7,149,155.60	5,730,755.07	1,573,881.89	0.00	0.00	7,304,636.96	0.00		-39,130.07
53	上海巴斯德健康研究基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	133,518.06	133,518.06	0.00	467,191.02	0.00	0.00	467,191.02	0.00		-333,672.96
54	上海市中小学幼儿教师奖励基金会	2014	900,000.00	0.00	0.00	0.00	0.00	0.00	0.00	3,000,000.00	3,900,000.00	273,300.00	0.00	0.00	0.00	273,300.00	0.00		3,626,700.00	105,500.00	0.00	0.00	0.00	0.00	0.00	6,771,522.18	180,349.20	7,057,371.38	6,908,918.99	625,876.24	0.00	0.00	7,534,795.23	0.00		-477,423.85
55	上海市九段沙湿地自然保护基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10,655.66	10,655.66	60,800.00	1,007.00	0.00	34,000.34	95,807.34	0.00		-85,151.68
56	上海市人口福利基金会	2014	7,127,058.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7,127,058.81	8,783,104.03	0.00	0.00	0.00	8,783,104.03	0.00		-1,656,045.22	1,909,933.45	0.00	0.00	0.00	0.00	0.00	0.00	144,649.12	2,054,582.57	1,201,800.00	4,908,247.40	0.00	0.00	6,110,047.40	0.00		-4,055,464.83
57	上海市体育发展基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	8,903,157.03	0.00	0.00	0.00	0.00	2,700,000.00	2,050,158.55	223,038.73	13,876,354.31	16,783,724.38	1,694,159.39	77,705.83	4,559.00	18,560,148.60	0.00		-4,683,794.29
58	上海市促进科技成果转化基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	999,672.28	0.00	0.00	0.00	0.00	0.00	3,570,697.67	7,558.54	4,577,928.49	3,245,182.10	320,709.95	0.00	3,091.04	3,568,983.09	0.00		1,008,945.40
59	上海市儿童健康基金会	2014	13,124,790.70	0.00	0.00	0.00	0.00	0.00	0.00	83,518.10	13,208,308.80	0.00	0.00	0.00	0.00	0.00	-1,204,985.40		2,003,323.40	509,098.00	0.00	0.00	0.00	0.00	0.00	0.00	448,308.30	957,406.30	11,320,223.74	717,606.00	1,245.60	0.00	12,039,075.34	11,204,985.40		123,316.36
60	上海市儿童基金会	2014	18,457,223.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	18,457,223.38	7,730,658.74	433,931.15	0.00	0.00	8,164,589.89	0.00		10,292,633.49	0.00	0.00	0.00	0.00	0.00	0.00	98,249.60	666,350.77	764,600.37	0.00	0.00	0.00	0.00	0.00	0.00		764,600.37
61	上海市医药卫生发展基金会	2014	1,800,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1,800,000.00	0.00	0.00	0.00	0.00	0.00	-10,255,430.41		-8,455,430.41	2,410,000.00	0.00	2,043,840.00	0.00	0.00	0.00	1,086,174.50	44,040.35	5,584,054.85	13,830,544.07	784,589.67	3,892.37	40,007.56	14,659,033.67	10,255,430.41		1,180,451.59
62	上海市华东师范大学教育发展基金会	2014	47,569,324.81	0.00	0.00	0.00	0.00	0.00	250,000.00	0.00	47,819,324.81	12,249,305.49	0.00	0.00	0.00	12,249,305.49	0.00		35,570,019.32	1,575,381.00	0.00	0.00	0.00	0.00	0.00	1,445,088.98	2,233,710.69	5,254,180.67	157,520.20	230,656.53	0.00	5,300.02	393,476.75	0.00		4,860,703.92
63	上海市华侨事业发展基金会	2014	3,531.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3,531.00	0.00	0.00	0.00	0.00	0.00	0.00		3,531.00	10,958,029.49	0.00	0.00	0.00	0.00	1,110,000.00	1,361,545.26	1,143,224.33	14,572,799.08	12,316,335.09	1,022,024.01	862,173.50	0.00	14,200,532.60	0.00		372,266.48
64	上海市卢湾区教育基金会	2014	100,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100,000.00	214,900.00	0.00	0.00	0.00	214,900.00	0.00		-114,900.00	133,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	133,000.00	1,112,558.90	117,501.18	-30,178.80	15,010.52	1,214,891.80	0.00		-1,066,881.24
65	上海市卫生系统青年人才奖励基金会	2014	755,000.00	324,000.00	150,100.00	0.00	0.00	0.00	0.00	136,041.80	1,365,141.80	840,338.70	97,023.56	0.00	41,833.43	979,195.69	0.00		385,946.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.70	-0.70	0.00		0.00
66	上海市嘉定区教育奖励基金会	2014	1,051,750.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1,051,750.00	0.00	0.00	0.00	0.00	0.00	-1,095,201.21		-43,451.21	0.00	0.00	0.00	0.00	0.00	0.00	2,060,000.00	3,449.00	2,063,449.00	2,919,391.21	33,364.80	-10,438.32	0.00	2,942,317.69	1,095,201.21		216,332.52
67	上海市大学生科技创业基金会	2014	800,000.00	0.00	0.00	0.00	0.00	116,050,000.00	0.00	181,319.12	117,031,319.12	5,520,702.58	0.00	0.00	0.00	5,520,702.58			111,510,616.54	0.00	0.00	0.00	0.00	0.00	5,140,000.00	10,753,390.71	15,450,205.26	31,343,595.97	7,902,999.94	1,436,555.35	0.00	6,159.62	9,345,714.91			21,997,881.06
68	上海市奉贤区教育基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	1,550,461.14	0.00	0.00	0.00	0.00	0.00	460,394.55	20,085.89	2,030,941.58	1,301,476.10	45,130.80	0.00	0.00	1,346,606.90	0.00		684,334.68
69	上海市奉贤建设工程科学技术发展基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	840,000.00	0.00	0.00	0.00	0.00	0.00	440,000.00	1,205,835.07	2,485,835.07	1,900,173.00	55,425.60	0.00	0.00	1,955,598.60	0.00		530,236.47
70	上海市安济医疗救助基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	8,098,206.17	0.00	0.00	0.00	0.00	0.00	0.00	3,541.11	8,101,747.28	2,396,894.39	270,083.78	0.00	3,065.80	2,670,043.97	0.00		5,431,703.31
71	上海市宝山区教育发展基金会	2014	1,083,000.00	0.00	0.00	0.00	0.00	0.00	0.00	1,819,425.00	2,902,425.00	0.00	0.00	0.00	0.00	0.00	0.00		2,902,425.00	560,000.00	0.00	0.00	0.00	0.00	0.00	-759,136.82	0.00	-199,136.82	1,012,503.00	99,775.15	-14,221.54	166.00	1,098,222.61	0.00		-1,297,359.43
72	上海市应昌期围棋教育基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	47,000.00	0.00	12,203,371.00	0.00	0.00	100,000.00	2,242,899.85	24,164.62	14,617,435.47	11,133,937.08	863,812.86	0.00	216,847.65	12,214,597.59	0.00		2,402,837.88
73	上海市建国社会公益基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	6,937,660.93	0.00	0.00	0.00	0.00	0.00	3,826,825.63	2,716,521.48	13,481,008.04	4,800,885.98	538,322.00	58,537.40	-5,625,557.16	-227,811.78	0.00		13,708,819.82
