机构ID	机构名称	数据年度	接受捐赠收到的现金	收取会员费收到的现金	提供服务收到的现金	销售商品收到的现金	政府补贴收到的现金	收到的与其他业务有关的现金	业务活动现金流入小计	提供捐赠或者资助支付的现金	支付给员工以及员工支付的现金	购买商品接受服务支付的现金	支付的其他与业务有关的现金	业务活动现金流出小计	业务活动产生的现金净流量	收回投资所收到的现金	取得投资收益所收到的现金	处置固定资产和无形资产所收回的现金	收到的其他与投资有关的现金	投资活动现金流入小计	购建固定资产和无形资产所支付的现金	对外投资所支付的现金	支付的其他与投资活动有关的现金	投资活动现金流出小计	投资活动产生的现金流量净额	借款所收到的现金	收到的其他与筹资活动有关的现金	筹资活动现金流入小计	偿还借款所支付的现金	偿还利息所支付的现金	支付的其他与筹资活动有关的现金	筹资活动现金流出小计	筹措活动产生的现金流量净额	汇率变动对现金的影响	现金及现金等价物净增加额
11	上海万宇慈善基金会	2014	600,000.00	0.00	0.00	0.00	0.00	189,845.07	789,845.07	336,000.00	0.00	0.00	9,542.00	345,542.00	444,303.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	444,303.07
12	上海世华民族艺术瑰宝回归基金会	2014	500,000.00	0.00	0.00	0.00	0.00	30.21	500,030.21	367,151.64	0.00	0.00	11,403.33	378,554.97	121,475.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	121,475.24
13	上海东华大学教育发展基金会	2014	8,715,755.42	0.00	0.00	0.00	0.00	705,463.24	9,421,218.66	7,362,765.00	0.00	0.00	16,691.00	7,379,456.00	2,041,762.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2,041,762.66
14	上海东方文化艺术基金会	2014	500,000.00	0.00	0.00	0.00	0.00	4,129.12	504,129.12	0.00	313,097.00	2,125,180.40	149,142.73	2,587,420.13	-2,083,291.01	0.00	0.00	478,123.00	0.00	478,123.00	0.00	0.00	0.00	0.00	478,123.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-1,605,168.01
15	上海东方爱心基金会	2014	30,000.00	0.00	0.00	0.00	0.00	26,004.87	56,004.87	30,000.00	0.00	0.00	26,724.00	56,724.00	-719.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-719.13
16	上海中华职业教育温暖工程基金会	2014	80,000.00	0.00	0.00	0.00	0.00	105,121.95	185,121.95	320,000.00	15,600.00	0.00	4,704.50	340,304.50	-155,182.55	0.00	446.41	0.00	0.00	446.41	0.00	0.00	0.00	0.00	446.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-154,736.14
17	上海中欧国际工商学院教育发展基金会	2014	42,352,162.57	0.00	0.00	0.00	0.00	6,769,843.72	49,122,006.29	23,379,676.21	0.00	8,711.00	0.00	23,388,387.21	25,733,619.08	0.00	1,636,127.70	0.00	0.00	1,636,127.70	0.00	3,500,000.00	0.00	3,500,000.00	-1,863,872.30	0.00	1,904,244.83	1,904,244.83	0.00	0.00	0.00	0.00	1,904,244.83	0.00	25,773,991.61
18	上海交响乐团文化发展基金会	2014	6,033,000.00	0.00	0.00	0.00	0.00	308,898.17	6,341,898.17	0.00	15,354.10	5,155,102.90	58,518.08	5,228,975.08	1,112,923.09	0.00	0.00	0.00	93,021,917.81	93,021,917.81	0.00	1,000,000.00	100,000,000.00	101,000,000.00	-7,978,082.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-6,865,159.10
19	上海交通大学教育发展基金会	2014	157,208,144.64	0.00	0.00	0.00	0.00	0.00	157,208,144.64	79,624,848.23	0.00	0.00	0.00	79,624,848.23	77,583,296.41	94,237,000.00	52,551,860.78	0.00	0.00	146,788,860.78	0.00	213,389,103.64	0.00	213,389,103.64	-66,600,242.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	35.14	10,983,088.69
20	上海仁德基金会	2014	2,274,479.27	0.00	0.00	0.00	0.00	6,433.23	2,280,912.50	3,015,901.89	115,965.00	0.00	333,835.59	3,465,702.48	-1,184,789.98	26,650,000.00	307,035.43	0.00	0.00	26,957,035.43	0.00	24,550,000.00	0.00	24,550,000.00	2,407,035.43	0.00	0.00	0.00	0.00	0.00	117,155.44	117,155.44	-117,155.44	0.00	1,105,090.01
21	上海公安金盾基金会	2014	0.00	0.00	0.00	0.00	0.00	1,352,637.49	1,352,637.49	9,783,016.10	105,000.00	0.00	277,271.35	10,165,287.45	-8,812,649.96	202,000,000.00	12,292,227.40	0.00	0.00	214,292,227.40	0.00	41,000,000.00	0.00	41,000,000.00	173,292,227.40	0.00	0.00	0.00	0.00	0.00	17,880.00	17,880.00	-17,880.00	0.00	164,461,697.44
22	上海兴华教育扶贫基金会	2014	16,356,919.20	0.00	0.00	0.00	0.00	43,705.71	16,400,624.91	4,350,000.00	142,871.56	1,216,228.86	788.69	5,709,889.11	10,690,735.80	47,000,000.00	3,805,037.89	0.00	0.00	50,805,037.89	0.00	61,000,000.00	0.00	61,000,000.00	-10,194,962.11	3,600,000.00	0.00	3,600,000.00	0.00	0.00	0.00	0.00	3,600,000.00	0.00	4,095,773.69
23	上海兴韦信息技术职业学院教育发展基金会	2014	11,330,000.00	0.00	0.00	0.00	0.00	1,944.47	11,331,944.47	11,400,000.00	0.00	0.00	11,727.00	11,411,727.00	-79,782.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-79,782.53
24	上海刘浩清公益基金会	2014	0.00	0.00	0.00	0.00	0.00	203.21	203.21	0.00	0.00	0.00	3,000.00	3,000.00	-2,796.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-2,796.79
25	上海医学创新发展基金会	2014	3,665,000.00	0.00	16,700,964.00	0.00	0.00	72,594.19	20,438,558.19	11,549,878.83	218,180.25	10,560,831.12	3,015,557.92	25,344,448.12	-4,905,889.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-4,905,889.93
26	上海华东政法大学教育发展基金会	2014	3,643,545.76	0.00	0.00	0.00	0.00	36,279.88	3,679,825.64	3,240,927.00	0.00	0.00	88,371.82	3,329,298.82	350,526.82	10,000,000.00	195,000.00	0.00	0.00	10,195,000.00	0.00	11,000,000.00	0.00	11,000,000.00	-805,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-454,473.18
27	上海华东理工大学教育发展基金会	2014	6,413,836.06	0.00	0.00	0.00	0.00	74,925.08	6,488,761.14	0.00	0.00	63,109.23	2,870,876.85	2,933,986.08	3,554,775.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3,554,775.06
28	上海华信公益基金会	2014	18,072,017.08	0.00	0.00	0.00	0.00	1,010,315.76	19,082,332.84	17,769,219.08	1,017,600.27	0.00	424,918.72	19,211,738.07	-129,405.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-129,405.23
29	上海华杰仁爱基金会	2014	350,000.00	0.00	0.00	0.00	0.00	6,508.85	356,508.85	753,174.60	36,000.00	7,748.50	951.50	797,874.60	-441,365.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-441,365.75
30	上海发展昆剧基金会	2014	0.00	0.00	0.00	0.00	0.00	1,036.13	1,036.13	0.00	0.00	231,594.27	0.00	231,594.27	-230,558.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-230,558.14
31	上海发展研究基金会	2014	1,719,791.66	0.00	0.00	0.00	0.00	932,256.21	2,652,047.87	124,000.00	1,561,392.70	0.00	2,951,975.46	4,637,368.16	-1,985,320.29	14,000,000.00	1,383,071.35	0.00	0.00	15,383,071.35	37,627.00	14,000,000.00	0.00	14,037,627.00	1,345,444.35				0.00	0.00	0.00	0.00		0.00	-639,875.94
32	上海同济大学教育发展基金会	2014	80,343,977.95	0.00	0.00	0.00	0.00	0.00	80,343,977.95	44,180,975.48	0.00	476,720.75	2,200,000.00	46,857,696.23	33,486,281.72	700,000.00	0.00	0.00	0.00	700,000.00	0.00	40,000,000.00	0.00	40,000,000.00	-39,300,000.00	0.00	4,216,615.61	4,216,615.61	0.00	0.00	0.00	0.00	4,216,615.61	0.00	-1,597,102.67
33	上海同济高廷耀环保科技发展基金会	2014	1,650,000.00	0.00	0.00	0.00	0.00	6,438,930.22	8,088,930.22	0.00	30,000.00	0.00	674,350.24	704,350.24	7,384,579.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7,384,579.98
34	上海向阳公益基金会	2014	10,000,000.00	0.00	0.00	0.00	0.00	20,950.67	10,020,950.67	550,000.00	60,000.00	0.00	7,519.50	617,519.50	9,403,431.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9,403,431.17
35	上海吴孟超医学科技基金会	2014	2,137,664.00	0.00	0.00	0.00	0.00	23,043,631.21	25,181,295.21	2,630,901.00	36,000.00	0.00	24,587,270.15	27,254,171.15	-2,072,875.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11,054.32	11,054.32	-11,054.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-2,083,930.26
36	上海唐君远教育基金会	2014	17,070,000.00	0.00	0.00	0.00	0.00	584,827.35	17,654,827.35	12,692,640.00	528,926.36	0.00	927,636.34	14,149,202.70	3,505,624.65	155,540,616.91	12,811,019.10	0.00	0.00	168,351,636.01	14,204.00	178,318,122.88	0.00	178,332,326.88	-9,980,690.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-6,475,066.22
37	上海商学院教育发展基金会	2014	304,090.00	0.00	0.00	0.00	0.00	96,465.70	400,555.70	395,000.00	0.00	0.00	7,966.00	402,966.00	-2,410.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-2,410.30
38	上海喜玛拉雅文化艺术基金会	2014	8,214,258.90	0.00	0.00	0.00	0.00	2,826,904.79	11,041,163.69	7,000,000.00	228,081.37	0.00	927,654.32	8,155,735.69	2,885,428.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2,885,428.00
39	上海嘉宝公益基金会	2014	0.00	0.00	0.00	0.00	0.00	898.82	898.82	0.00	0.00	0.00	2,000.00	2,000.00	-1,101.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20,000,000.00	20,000,000.00	-20,000,000.00	0.00	20,000,000.00	20,000,000.00	0.00	0.00	0.00	0.00	20,000,000.00	0.00	-1,101.18
40	上海国泰君安社会公益基金会	2014	4,836,940.00	0.00	0.00	0.00	0.00	11,961.21	4,848,901.21	11,322,978.60	0.00	0.00	30,793.20	11,353,771.80	-6,504,870.59	3,000,000.00	454,717.80	0.00	0.00	3,454,717.80	0.00	2,000,000.00	0.00	2,000,000.00	1,454,717.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-5,050,152.79
41	上海国际经济交流基金会	2014	0.00	0.00	0.00	0.00	0.00	816.39	816.39	0.00	87,600.00	696,606.60	1,079.70	785,286.30	-784,469.91	503,500.00	1,059,599.08	0.00	0.00	1,563,099.08	1,799.00	621,383.69	0.00	623,182.69	939,916.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	155,446.48
42	上海复大公益基金会	2014	613,500.00	0.00	0.00	0.00	0.00	241,416.33	854,916.33	330,000.00	16,000.00	0.00	11,317.46	357,317.46	497,598.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	497,598.87
43	上海复旦大学教育发展基金会	2014	81,145,808.92	0.00	0.00	0.00	0.00	4,589,707.77	85,735,516.69	47,058,070.38	1,561,738.80	28,350.60	561,187.77	49,209,347.55	36,526,169.14	497,222.54	2,309,133.02	0.00	0.00	2,806,355.56	0.00	10,000,000.00	0.00	10,000,000.00	-7,193,644.44	0.00	1,458,804.61	1,458,804.61	0.00	0.00	3,966.40	3,966.40	1,454,838.21	0.00	30,787,362.91
44	上海复星公益基金会	2014	39,562,665.00	0.00	0.00	0.00	0.00	426,385.49	39,989,050.49	34,144,081.00	480,000.00	0.00	1,082,611.17	35,706,692.17	4,282,358.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4,282,358.32
45	上海夏征农民族文化教育发展基金会	2014	3,784,536.35	0.00	0.00	0.00	0.00	82,793.98	3,867,330.33	3,888,936.66	160,726.60	0.00	49,978.93	4,099,642.19	-232,311.86	0.00	0.00	0.00	0.00	0.00	3,737.00	40,000.00	0.00	43,737.00	-43,737.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-276,048.86
46	上海外国语大学教育发展基金会	2014	4,365,716.93	0.00	0.00	0.00	0.00	456,325.52	4,822,042.45	2,600,074.66	0.00	0.00	1,180,706.08	3,780,780.74	1,041,261.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1,041,261.71
47	上海大成慈善基金会	2014	3,642,500.00	0.00	0.00	0.00	0.00	16,919.04	3,659,419.04	700,000.00	0.00	0.00	864,241.10	1,564,241.10	2,095,177.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2,095,177.94
48	上海天下文化发展基金会	2014	500,000.00	0.00	0.00	0.00	0.00	3,520,292.45	4,020,292.45	500,000.00	0.00	0.00	3,530,048.20	4,030,048.20	-9,755.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-9,755.75
49	上海宇兴爱心慈善基金会	2014	102,994.26	0.00	0.00	0.00	0.00	4,887.50	107,881.76	167,605.99	4,500.00	0.00	114,745.00	286,850.99	-178,969.23	4,900,000.00	56,934.26	0.00	0.00	4,956,934.26	5,894.01	6,400,000.00	0.00	6,405,894.01	-1,448,959.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-1,627,928.98
50	上海宋庆龄基金会	2014	30,462,039.35	0.00	0.00	0.00	0.00	1,130,701.36	31,592,740.71	45,066,025.02	1,625,640.60	0.00	4,766,988.07	51,458,653.69	-19,865,912.98	40,000,000.00	28,747,485.90	0.00	0.00	68,747,485.90	254,201.50	63,107,750.00	0.00	63,361,951.50	5,385,534.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-14,480,378.58
51	上海富国环保公益基金会	2014	1,300,000.00	0.00	0.00	0.00	0.00	3,049.32	1,303,049.32	0.00	-2,308.00	760,819.80	34,662.36	793,174.16	509,875.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	509,875.16
52	上海工商界爱国建设特种基金会	2014	0.00	0.00	0.00	0.00	0.00	112,073.69	112,073.69	5,493,433.07	512,260.00	0.00	1,601,027.47	7,606,720.54	-7,494,646.85	84,721,683.74	6,155,405.60	0.00	0.00	90,877,089.34	0.00	79,989,430.00	0.00	79,989,430.00	10,887,659.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3,393,012.49
53	上海巴斯德健康研究基金会	2014	0.00	0.00	0.00	0.00	0.00	133,518.06	133,518.06	0.00	119,952.60	0.00	347,238.42	467,191.02	-333,672.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-333,672.96
54	上海市中小学幼儿教师奖励基金会	2014	1,005,500.00	0.00	0.00	0.00	2,186,100.00	3,175,315.00	6,366,915.00	7,191,656.60	558,124.43	58,656.92	1,969,858.81	9,778,296.76	-3,411,381.76	19,740,098.45	6,771,522.18	0.00	0.00	26,511,620.63	17,460,000.00	0.00	0.00	17,460,000.00	9,051,620.63	0.00	50,349.20	50,349.20	0.00	0.00	0.00	0.00	50,349.20	0.00	5,690,588.07
55	上海市九段沙湿地自然保护基金会	2014	0.00	0.00	0.00	0.00	0.00	10,655.66	10,655.66	0.00	0.00	60,800.00	35,007.34	95,807.34	-85,151.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-85,151.68
56	上海市人口福利基金会	2014	8,236,992.26	0.00	0.00	0.00	0.00	0.00	8,236,992.26	9,969,348.83	203,400.00	0.00	92,299.50	10,265,048.33	-2,028,056.07	0.00	144,649.12	0.00	0.00	144,649.12	50,000.00	500,000.00	282.90	550,282.90	-405,633.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-2,433,689.85
57	上海市体育发展基金会	2014	8,903,157.03	0.00	0.00	0.00	2,700,000.00	223,038.73	11,826,195.76	16,783,724.38	1,169,395.25	524,764.14	4,559.00	18,482,442.77	-6,656,247.01	39,200,000.00	1,148,514.71	0.00	131,579.40	40,480,094.11	22,742.70	37,400,000.00	0.00	37,422,742.70	3,057,351.41	0.00	1,576,064.53	1,576,064.53	0.00	0.00	752,126.52	752,126.52	823,938.01	0.00	-2,774,957.59
58	上海市促进科技成果转化基金会	2014	999,672.28	0.00	0.00	0.00	0.00	377,558.54	1,377,230.82	0.00	301,202.70	3,198,100.20	520,325.50	4,019,628.40	-2,642,397.58	167,442.00	3,570,697.67	0.00	0.00	3,738,139.67	0.00	0.00	0.00	0.00	3,738,139.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1,095,742.09
59	上海市儿童健康基金会	2014	6,774,283.40	0.00	0.00	0.00	0.00	0.00	6,774,283.40	5,051,577.60	503,460.00	65,309.78	50,994.74	5,671,342.12	1,102,941.28	0.00	0.00	0.00	0.00	0.00	8,248.00	0.00	0.00	8,248.00	-8,248.00	0.00	531,822.60	531,822.60	0.00	0.00	1,245.60	1,245.60	530,577.00	0.00	1,625,270.28
60	上海市儿童基金会	2014	6,737,758.59	0.00	0.00	0.00	0.00	666,350.77	7,404,109.36	7,730,658.74	32,600.00	0.00	592,881.15	8,356,139.89	-952,030.53	0.00	98,249.60	0.00	0.00	98,249.60	0.00	0.00	0.00	0.00	98,249.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-853,780.93
61	上海市医药卫生发展基金会	2014	6,387,433.37	0.00	2,043,840.00	0.00	0.00	44,040.35	8,475,313.72	7,127,700.92	329,473.76	3,459,636.70	459,008.28	11,375,819.66	-2,900,505.94	28,700,000.00	1,086,174.50	0.00	0.00	29,786,174.50	0.00	0.00	0.00	0.00	29,786,174.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	26,885,668.56
62	上海市华东师范大学教育发展基金会	2014	49,144,705.81	0.00	0.00	0.00	0.00	2,233,710.69	51,378,416.50	12,406,825.69	0.00	0.00	694,337.85	13,101,163.54	38,277,252.96	169,220,000.00	1,695,088.98	0.00	0.00	170,915,088.98	195,941.64	149,332,676.57	0.00	149,528,618.21	21,386,470.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	59,663,723.73
63	上海市华侨事业发展基金会	2014	9,178,159.72	0.00	0.00	0.00	700,000.00	1,370,769.59	11,248,929.31	11,175,072.99	493,548.10	0.00	1,360,868.17	13,029,489.26	-1,780,559.95	5,000,000.00	1,361,545.26	0.00	0.00	6,361,545.26	6,240.00	0.00	0.00	6,240.00	6,355,305.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-8,895.00	4,565,850.31
64	上海市卢湾区教育基金会	2014	233,000.00	0.00	0.00	0.00	0.00	0.00	233,000.00	0.00	96,000.00	1,327,458.90	21,168.90	1,444,627.80	-1,211,627.80	10,000,000.00	0.00	0.00	0.00	10,000,000.00	0.00	0.00	0.00	0.00	10,000,000.00	0.00	33,678.84	33,678.84	0.00	0.00	3,500.00	3,500.00	30,178.84	0.00	8,818,551.04
65	上海市卫生系统青年人才奖励基金会	2014	755,000.00	324,000.00	150,100.00	0.00	0.00	136,041.80	1,365,141.80	840,338.70	39,000.00	0.00	99,856.99	979,195.69	385,946.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	385,946.11
66	上海市嘉定区教育奖励基金会	2014	1,051,750.00	0.00	0.00	0.00	0.00	13,887.32	1,065,637.32	1,095,201.21		1,889,690.00	33,364.80	3,018,256.01	-1,952,618.69	0.00	2,060,000.00	0.00	0.00	2,060,000.00	0.00	0.00	0.00	0.00	2,060,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	107,381.31
67	上海市大学生科技创业基金会	2014	800,000.00	0.00	0.00	0.00	121,190,000.00	15,631,524.38	137,621,524.38	13,423,702.52	1,064,099.51	0.00	124,996,454.82	139,484,256.85	-1,862,732.47	0.00	0.00	0.00	0.00	0.00	510,303.25	700,000.00	0.00	1,210,303.25	-1,210,303.25		500,000,000.00	500,000,000.00	0.00	0.00	0.00	0.00	500,000,000.00	0.00	496,926,964.28
68	上海市奉贤区教育基金会	2014	1,550,461.14	0.00	0.00	0.00	0.00	20,085.89	1,570,547.03	1,295,396.10	36,000.00	15,210.80	0.00	1,346,606.90	223,940.13		460,394.55	0.00	0.00	460,394.55	0.00	3,190,000.00	0.00	3,190,000.00	-2,729,605.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-2,505,665.32
69	上海市奉贤建设工程科学技术发展基金会	2014	840,000.00	0.00	0.00	0.00	0.00	1,205,835.07	2,045,835.07	1,900,173.00	20,600.00	0.00	34,825.60	1,955,598.60	90,236.47	20,000,000.00	165,000.00	0.00	0.00	20,165,000.00	0.00	20,000,000.00	0.00	20,000,000.00	165,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	255,236.47
