	address	cert_valid_thru	dist	est_date	init_fund	inst_nm	inst_type	phone_num	prov	reg_dept	repre	spv_dept	status	uscc	website	wrk_domain
10	北京市东城区北京市劳动人民文化宫太庙		东城区	1987-09-05	800.00 万元	中国艺术节基金会	基金会	-	北京市	民政部	田建平	文化部	正常	53100000500007268X	www.chinaaf.org	nan
11	北京市东城区新中街66号北京富东大厦		东城区	1993-02-09	800.00 万元	中华社会文化发展基金会	基金会	-	北京市	民政部	周塞峰	文化部	正常	53100000500013350L	www.cfdsc.com.cn	nan
12	北京市东城区东四西大街42号		东城区	1988-06-13	800.00 万元	中华国际医学交流基金会	基金会	-	北京市	民政部	刘雁飞	国家卫生和计划生育委员会	正常	531000005000090870	www.CIMF.org.cn	nan
13	北京市朝阳区北三环东路22号		朝阳区	1999-12-29	800.00 万元	中国电影基金会	基金会	-	北京市	民政部	张丕民	国家新闻出版广电总局	正常	5310000050000688XU	www.cff.net.cn	nan
14	北京市西城区北新华街1号北京音乐厅401室和402室		西城区	2001-11-01	800.00 万元	中国交响乐发展基金会	基金会	-	北京市	民政部	陈光宪	文化部	正常	53100000500016623H	www.csdf.org	nan
15	北京市西城区阜成门外大街35号		西城区	2004-09-30	1000.00 万元	中国华文教育基金会	基金会	-	北京市	民政部	赵阳	国务院侨务办公室	正常	53100000500019605B	WWW.CLEF.ORG.CN	nan
16	北京市西城区大拐棒胡同27号		西城区	2005-06-14	3050.00 万元	中国光彩事业基金会	基金会	-	北京市	民政部	李路	中共中央统战部	正常	53100000500019816T	www.gcjjh.org.cn	nan
17	北京市西城区白广路4号院		西城区	2005-06-14	800.00 万元	中国社会福利基金会	基金会	-	北京市	民政部	戚学森	民政部	正常	53100000500019795A	www.cswef.org	nan
18	北京市建外大街19号楼国际大厦1605			1993-08-31	800.00 万元	中国益民文化建设基金会	基金会	-	北京市	民政部	李安民	住房和城乡建设部	正常	53100000500014978Q	http://www.ymjjh.org	nan
19	北京市西城区阜外大街乙22号		西城区	1989-11-27	800.00 万元	中国保护消费者基金会	基金会	-	北京市	民政部	侯贵良	国务院国有资产监督管理委员会	正常	53100000500010301W	无	nan
20	北京市海淀区中关村南大街22号北京大学口腔医学院内		海淀区	1994-04-01	800.00 万元	中国牙病防治基金会	基金会	-	北京市	民政部	高学军	国家卫生和计划生育委员会	正常	531000005000161727	www.cohf.cn	nan
21	北京市东城区北河沿大街83号		东城区	1988-09-07	800.00 万元	中国民族文化艺术基金会	基金会	-	北京市	民政部	吴杰	文化部	正常	53100000500008711N	www.cemf.org.cn	nan
22	北京市东城区东长安街33号北京饭店D座6305		东城区	1991-12-24	800.00 万元	中国少年儿童文化艺术基金会	基金会	-	北京市	民政部	阚丽君	文化部	正常	531000005000080337	www.cfcac.org.cn	nan
23	北京市西城区兵马司胡同63号		西城区	1993-02-08	800.00 万元	中国法学交流基金会	基金会	-	北京市	民政部	鲍绍坤	中国法学会	正常	53100000500013334Y	www.zgfxjljjh.org	nan
24	北京市东城区东花市枣苑小区4号楼1710		东城区	1992-03-21	800.00 万元	中国京剧艺术基金会	基金会	-	北京市	民政部	王玉珍	文化部	正常	53100000500009693N	无	nan
25	北京市东城区鼓楼辛安里66号		东城区	1996-12-30	800.00 万元	中国初级卫生保健基金会	基金会	-	北京市	民政部	龚建明	国家卫生和计划生育委员会	正常	531000005000185302	www.cphcf.org.cn	nan
26	北京市东城区旧鼓楼大街张旺胡同17号		东城区	1993-06-09	800.00 万元	中国光华科技基金会	基金会	-	北京市	民政部	侯宝森	共青团中央委员会	正常	53100001500014572X	www.ghstf.org	nan
27	北京市朝阳区望京西路51号		朝阳区	1989-03-01	800.00 万元	中国青少年发展基金会	基金会	-	北京市	民政部	王剑	共青团中央委员会	正常	531000005000074878	www.cydf.org.cn	nan
28	北京市西城区地安门西大街67号		西城区	1986-01-01	800.00 万元	中华文学基金会	基金会	-	北京市	民政部	何建明	中国作家协会	正常	5310000050000928XF	http://www.chinalf.org.cn/	nan
29	北京市朝阳区秀水街1号建外外交公寓JB04-2-031/032号		朝阳区	2003-06-05	800.00 万元	中国老龄事业发展基金会	基金会	-	北京市	民政部	李宝库	民政部	正常	531000005000081643	http://www.cadf.org.cn	nan
30	北京市东城区五四大街29号		东城区	1992-04-04	800.00 万元	中国文物保护基金会	基金会	-	北京市	民政部	励小捷	国家文物局	正常	5310000050001031XL	www.ccrpf.org.cn	nan
31	北京市西城区复兴门外大街10号中国职工之家817室		西城区	1994-04-05	800.00 万元	中国职工发展基金会	基金会	-	北京市	民政部	陈豪	中华全国总工会	正常	53100000500016922F	无	nan
32	北京市东城区安定门外大街138号皇城国际中心A座13层		东城区	1997-11-27	4000.00 万元	中国发展研究基金会	基金会	-	北京市	民政部	李伟	国务院发展研究中心	正常	5310000050001859X2	www.cdrf.org.cn	nan
33	北京市东城区干面胡同53号		东城区	1994-03-15	800.00 万元	中国红十字基金会	基金会	-	北京市	民政部	郭长江	中国红十字会总会	正常	531000005000160090	www.crcf.org.cn	nan
34	北京市海淀区紫竹院南路17号		海淀区	1991-11-04	800.00 万元	中国企业管理科学基金会	基金会	-	北京市	民政部	尹援平	国务院国有资产监督管理委员会	正常	5310000050000709XN	www.cec1979.org.cn/jjh	nan
35	北京市西城区南纬路27号806室		西城区	1998-08-20	800.00 万元	中国肝炎防治基金会	基金会	-	北京市	民政部	刘晓峰	国家卫生和计划生育委员会	正常	5310000050001867XM	www.cfhpc.org	nan
36	北京市东城区台基厂头条3号		东城区	1998-06-10	800.00 万元	中国国际问题研究基金会	基金会	-	北京市	民政部	刘古昌	外交部	正常	53100000500018661X	www.cfisnet.com	nan
37	北京市东城区北新桥三条甲一号307室		东城区	1992-08-03	1860.00 万元	中国华侨公益基金会	基金会	-	北京市	民政部	乔卫	中华全国归国华侨联合会	正常	53100000500011291P	www.qlgy.org.cn	nan
38	北京市海淀区大有庄100号主楼		海淀区	1992-03-31	800.00 万元	中国马克思主义研究基金会	基金会	-	北京市	民政部	刘海涛	中共中央党校	正常	53100000500714245N	cc.ccps.gov.cn	nan
39	北京市东城区和平里东街18号		东城区	1994-07-01	800.00 万元	中国绿化基金会	基金会	-	北京市	民政部	陈述贤	国家林业局	正常	531000005000069277	www.cgf.org.cn	nan
40	北京市西城区金融大街35号国际企业大厦A座6层607		西城区	1992-05-14	1000.00 万元	中国金融教育发展基金会	基金会	-	北京市	民政部	杨子强	中国人民银行	正常	53100000500010272H	www.cfdfe.org	nan
41	北京市丰台区丰台西路17号全军药材供应保障中心5楼		丰台区	1989-10-16	800.00 万元	中国预防性病艾滋病基金会	基金会	-	北京市	民政部	王玉民	国家卫生和计划生育委员会	正常	531000005000094827	www.cfpsa.org.cn	nan
42	北京市东城区东花市北里东区6楼		东城区	1993-03-01	4000.00 万元	中华见义勇为基金会	基金会	-	北京市	民政部	贾春旺	公安部	正常	531000005000141260	http://www.cjyyw.com	nan
43	北京市西城区东文昌胡同4号		西城区	1987-07-08	800.00 万元	中国医学基金会	基金会	-	北京市	民政部	游伟程	国家卫生和计划生育委员会	正常	5310000050001146XN	www.cmf.org.cn	nan
44	北京市海淀区香山路西小府23号院3号楼1层		海淀区	2003-10-30	1000.00 万元	中国关心下一代健康体育基金会	基金会	-	北京市	民政部	郝毅	教育部	正常	53100000500019373B	www.cyccf.org.cn	nan
45	北京市东城区东长安街14号		东城区	2003-01-07	800.00 万元	中国公安民警英烈基金会	基金会	-	北京市	民政部	孙明山	公安部	正常	531000005000192772	www.mps.gov.cn	nan
46	北京市东城区和平里北街21号		东城区	1982-10-23	880.00 万元	中国煤矿文化宣传基金会	基金会	-	北京市	民政部	庞崇娅	国务院国有资产监督管理委员会	正常	53100000500010379W	www.caaccm.org.cn/jjh/	nan
47	北京市西城区鼓楼西大街154号		西城区	2005-10-10	800.00 万元	中国医药卫生事业发展基金会	基金会	-	北京市	民政部	杨利明	国家卫生和计划生育委员会	正常	531000005000199717	www.chmdf.cn	nan
48	北京市西城区西单大木仓胡同35号		西城区	2003-12-16	5000.00 万元	中国教育发展基金会	基金会	-	北京市	民政部	张保庆	教育部	正常	53100000500019998Y	www.cedf.org.cn	nan
49	北京市朝阳区十里河2272信箱		朝阳区	2006-03-06	1000.00 万元	中国民航科普基金会	基金会	-	北京市	民政部	刘彦斌	中国民用航空局	正常	53100000500020032R	www.ccaspf.com	nan
50	北京市东城区广渠门内大街16号		东城区	1993-03-16	800.00 万元	中华环境保护基金会	基金会	-	北京市	民政部	傅雯娟	环境保护部	正常	53100000500013633W	http://www.cepf.org.cn	nan
51	北京市东城区东四十条甲22号南新仓国际大厦6层A609		东城区	2002-08-02	800.00 万元	中华健康快车基金会	基金会	-	北京市	民政部	董建华	国家卫生和计划生育委员会	正常	53100000500019170N	www.lifeline-express.com	nan
52	北京市朝阳区东土城路乙9号		朝阳区	1991-12-04	800.00 万元	中国国际文化交流基金会	基金会	-	北京市	民政部	王学珺	文化部	正常	53100000500007890A	www.cicef.org.cn	nan
53	北京市海淀区学院路30号		海淀区	1990-01-01	2000.00 万元	中国博士后科学基金会	基金会	-	北京市	民政部	夏文峰	人力资源和社会保障部	正常	53100000500012315Q	www.chinapostdoctor.org.cn	nan
54	北京市东城区东长安街14号		东城区	1999-03-19	5000.00 万元	中国禁毒基金会	基金会	-	北京市	民政部	杨凤瑞	公安部	正常	53100000500018688M	无	nan
55	北京市海淀区西三环北路50号院豪柏大厦C1-907		海淀区	1995-04-06	1100.00 万元	中国听力医学发展基金会	基金会	-	北京市	民政部	何汉	国家卫生和计划生育委员会	正常	53100000500017757X	http://www.adfc.org.cn	nan
56	北京市朝阳区北辰东路5号		朝阳区	1991-11-02	800.00 万元	中国科技馆发展基金会	基金会	-	北京市	民政部	殷皓	中国科学技术协会	正常	531000005000069352	www.fdstmc.org.cn	nan
57	西藏自治区拉萨市林廓西路13号		拉萨市	1982-04-03	800.00 万元	援助西藏发展基金会	基金会	0891-6818370	西藏自治区	民政部	车仁·晋美旺秋	西藏自治区政府	正常	53100000500009730W	http//www.tdfchina.org	nan
58	北京市东城区和平里七区25号楼中林商务楼4层		东城区	2006-09-01	800.00 万元	中国治理荒漠化基金会	基金会		北京市	民政部	安成信	国家林业局	正常	531000005000202514	http://www.chinafdc.org	nan
59	北京市朝阳区鼎成路1号		朝阳区	1989-06-01	800.00 万元	中国国际战略研究基金会	基金会	-	北京市	民政部	陈知涯	中央军委联合参谋部	正常	53100000500007225G	无	nan
60	北京市海淀区长春桥路6号		海淀区	2006-09-18	800.00 万元	中国西部人才开发基金会	基金会	-	北京市	民政部	汪文斌	国家行政学院	正常	53100000500020278U	www.chinawesthr.org	nan
61	甘肃省兰州市南滨河东路522号		兰州市	2000-01-01	1783.00 万元	中国敦煌石窟保护研究基金会	基金会	-	甘肃省	民政部	纪新民	国家文物局	正常	5310000050001744X0	无	nan
62	北京市东城区前门东大街10号		东城区	2006-10-08	24000.00 万元	中国青年创业就业基金会	基金会	-	北京市	民政部	徐晓	共青团中央委员会	正常	53100000500020294H	www.yee.org.cn	nan
63	北京市东城区大佛寺东街6号		东城区	1995-07-04	800.00 万元	中国器官移植发展基金会	基金会	-	北京市	民政部	黄洁夫	国家卫生和计划生育委员会	正常	53100000D215099007	http://www.yzjjh.org/	nan
64	北京市丰台区万丰路316号万开中心A4-20		丰台区	2006-12-18	1500.00 万元	中国健康促进基金会	基金会	-	北京市	民政部	白书忠	国家卫生和计划生育委员会	正常	53100000500020358F	www.chinahpf.org.cn	nan
65	北京市东城区南河沿大街111号		东城区	2007-01-25	800.00 万元	中国留学人才发展基金会	基金会	-	北京市	民政部	曹卫洲	中共中央统战部	正常	531000005000203745	http://www.cosdf.org.cn/	nan
66	北京市朝阳区安苑北里22号楼		朝阳区	1994-02-18	897.00 万元	中国文学艺术基金会	基金会	-	北京市	民政部	胡振民	中国文学艺术界联合会	正常	531000005000158070	www.claf.cn	nan
67	北京市朝阳区朝外大街吉祥里208号民建中央		朝阳区	2007-03-22	800.00 万元	中华思源工程扶贫基金会	基金会	-	北京市	民政部	陈昌智	中共中央统战部	正常	53100000500020462K	www.sygoc.org.cn	nan
68	北京市东城区北池子大街44号		东城区	1983-11-07	50621.00 万元	中国残疾人福利基金会	基金会	-	北京市	民政部	王乃坤	中国残疾人联合会	正常	53100000500013588U	www.cfdp.org.cn	nan
69	北京市东城区东直门南大街5号中青旅大厦1009-1012		东城区	2007-08-28	800.00 万元	中国华夏文化遗产基金会	基金会	-	北京市	民政部	耿静	文化部	正常	5310000050002069XM	www.cchfound.org	nan
70	北京市东城区建国门内大街15号		东城区	1981-07-28	800.00 万元	中国儿童少年基金会	基金会	-	北京市	民政部	宋秀岩	中华全国妇女联合会	正常	531000005000090795	www.cctf.org.cn	nan
71	北京市朝阳区华严里10号		朝阳区	2008-01-17	800.00 万元	中国拥军优属基金会	基金会	-	北京市	民政部	-	民政部	正常	53100000500020876P	cnvf.org.cn	nan
72	北京市东城区体育馆路9号西门		东城区	1994-04-01	800.00 万元	中华全国体育基金会	基金会	-	北京市	民政部	吴齐	国家体育总局	正常	53100000500016121Y	http://www.tyjjh.org.cn/	nan
73	北京市朝阳区北四环中路6号华亭嘉园A座5D		朝阳区	1995-03-01	800.00 万元	中国航天基金会	基金会	-	北京市	民政部	吴志坚	国家国防科技工业局	正常	53100000500017546E	http://www.spacechina.org	nan
74	北京市海淀区西三环北路50号豪柏国际公寓A2-1703		海淀区	1994-08-15	1360.00 万元	中国人权发展基金会	基金会	-	北京市	民政部	黄孟复	国务院新闻办公室	正常	531000005000167703	www.renquanjjh.com/	nan
75	北京市西城区砖塔胡同56号		西城区	2008-10-30	800.00 万元	中国古生物化石保护基金会	基金会	-	北京市	民政部	陶庆法	国土资源部	正常	5310000050002122XY	www.cfpf.org.cn	nan
76	北京市西城区北新华街45号办公楼		西城区	2009-01-12	1000.00 万元	中华社会救助基金会	基金会	-	北京市	民政部	许嘉璐	民政部	正常	53100000500021326D	www.csaf.org.cn	nan
77	北京市东城区北京市东城区建国门内大街28号民生金融中心B座9层		东城区	2009-02-16	5000.00 万元	中国志愿服务基金会	基金会	-	北京市	民政部	石大华	民政部	正常	53100000500021318J	http://www.cvsf.org.cn	nan
78	北京市东城区建国门内大街15号		东城区	1988-12-01	1000.00 万元	中国妇女发展基金会	基金会	-	北京市	民政部	孟晓驷	中华全国妇女联合会	正常	53100000500012016T	www.cwdf.org.cn	nan
79	北京市海淀区彰化路9号中扶国际4层		海淀区	2009-09-10	2000.00 万元	中华少年儿童慈善救助基金会	基金会	-	北京市	民政部	王林	民政部	正常	53100000500021537W	www.ccafc.org.cn	nan
80	河南省郑州市金水路11号		郑州市	2009-10-09	2800.00 万元	中国保护黄河基金会	基金会	-	河南省	民政部	夏明海	水利部	正常	53100000500021553J	http://www.cyrf.org	nan
81	北京市东城区灯市口大街同福夹道6号		东城区	2010-07-09	800.00 万元	中国下一代教育基金会	基金会	-	北京市	民政部	王萍	教育部	正常	53100000500021844M	http://www.cngef.org.cn	nan
82	北京市东城区和平里东街12号		东城区	2010-07-19	5000.00 万元	中国绿色碳汇基金会	基金会	-	北京市	民政部	杜永胜	国家林业局	正常	531000005000218798	www.thjj.org	nan
83	北京市海淀区知春路20号		海淀区	2011-05-24	1000.00 万元	中国出生缺陷干预救助基金会	基金会	-	北京市	民政部	蒋正华	国家卫生和计划生育委员会	正常	53100000717829801T	http://www.csqx.org.cn	nan
84	北京市东城区安乐林路甲69号		东城区	2011-10-25	800.00 万元	中华同心温暖工程基金会	基金会	-	北京市	民政部	马培华	中共中央统战部	正常	53100000717830984Q	www.warmnet.cn	nan
85	北京市海淀区万寿路西街7号院4号楼127室		海淀区	1989-06-15	800.00 万元	欧美同学基金会	基金会	010-58549728	北京市	民政部	吴华	教育部	正常	53100000500016666Y	http://www.wrsf.net	nan
86	广东省深圳市南山区高新技术产业园科技南路中兴通讯大厦A座6楼		深圳市	2012-10-22	5000.00 万元	中兴通讯公益基金会	基金会	-	广东省	民政部	熊辉	民政部	正常	531000007178342486	www.ztefoundation.org	nan
87	北京市东城区安定门外大街138号皇城国际中心A座802		东城区	2015-06-10	19000.00 万元	中国互联网发展基金会	基金会	-	北京市	民政部	马利	国家互联网信息办公室	正常	5310000071784119XQ	www.cidf.net	nan
88	北京市西城区复兴门外大街1号		西城区	2015-12-16	58200.00 万元	中国海洋发展基金会	基金会	-	北京市	民政部	孙志辉	国家海洋局	正常	53100000717841667X	www.cfocean.org.cn	nan
89	北京市建国门内大街七号贡院西街九号建国国际公寓506室			2005-06-14	2000.00 万元	香江社会救助基金会	基金会	-	北京市	民政部	李瑞海	民政部	正常	531000005000198080	www.hkf.org.cn	nan
90	北京市朝阳区建外大街乙24号燕华苑2座601号		朝阳区	1999-08-04	2000.00 万元	吴阶平医学基金会	基金会	-	北京市	民政部	王南征	国家卫生和计划生育委员会	正常	53100000500018047C	www.wjpmf.org	nan
91	北京市朝阳区北辰东路8号院J－719室		朝阳区	1993-03-15	200.00 万元	周培源基金会	基金会	-	北京市	民政部	周如苹	中共中央统战部	正常	531000005000136252	www.cpyf.org.cn	nan
92	北京市海淀区清华大学动振小楼		海淀区	1994-01-25	2000.00 万元	清华大学教育基金会	基金会	-	北京市	民政部	杨斌	教育部	正常	53100000500006919C	www.tuef.tsinghua.edu.cn	nan
93	北京市西城区赵登禹路富国街2号院南楼4层		西城区	1994-09-06	2000.00 万元	华侨茶业发展研究基金会	基金会	-	北京市	民政部	邵曙光	商务部	正常	53100000500016930A	www.chinateafund.cn	nan
94	广东省广州市机场路278号南航办公大楼		广州市	2005-05-13	2000.00 万元	南航“十分”关爱基金会	基金会	-	广东省	民政部	谭万庚	中国民用航空局	正常	5310000050001971XC	www.csair.com	nan
95	上海市宝山区四元路19号（上海宝钢集团公司教培中心大院）		宝山区	2005-05-17	5000.00 万元	宝钢教育基金会	基金会	-	上海市	民政部	伏中哲	教育部	正常	53100000500019787F	www.bsef.baosteel.com	nan
96	北京市海淀区学院路37号北航东小楼一层		海淀区	2005-05-17	2000.00 万元	北京航空航天大学教育基金会	基金会	-	北京市	民政部	刘树春	工业和信息化部	正常	53100000500019779L	http://bhuef.buaa.edu.cn/	nan
97	北京市西城区三里河路46号		西城区	1991-10-09	810.00 万元	纪念苏天·横河仪器仪表人才发展基金会	基金会	010-68594898	北京市	民政部	向晓波	国务院国有资产监督管理委员会	正常	53100000500006855E	无	nan
98	北京市海淀区万柳东路新纪元家园2号楼7单元303室		海淀区	2001-03-19	300.00 万元	吴作人国际美术基金会	基金会	-	北京市	民政部	范迪安	中共中央统战部	正常	531000005000077198	www.wuzuoren.org	nan
99	北京市朝阳区弘燕路山水文园东园3号楼底商101室		朝阳区	1998-03-24	2000.00 万元	李可染艺术基金会	基金会	-	北京市	民政部	李小可	文化部	正常	531000005000186458	www.likeran.com	nan
100	北京市海淀区北四环西路33号		海淀区	2003-02-22	4000.00 万元	陈嘉庚科学奖基金会	基金会	-	北京市	民政部	李婷	中国科学院	正常	53100000500019250A	www.tsaf.ac.cn	nan
101	北京市海淀区颐和园路北京大学镜春园75号		海淀区	1995-07-04	2000.00 万元	北京大学教育基金会	基金会	-	北京市	民政部	朱善璐	教育部	正常	53100000500018012R	www.pkuef.org	nan
102	北京市西城区后海北沿24号		西城区	1989-08-29	20.00 万元	马海德基金会	基金会	-	北京市	民政部	周幼马	国家卫生和计划生育委员会	正常	53100000500009466H	无	nan
103	北京市西城区复兴门内大街158号远洋大厦F1101		西城区	2005-10-11	10000.00 万元	中远海运慈善基金会	基金会	-	北京市	民政部	叶红军	民政部	正常	53100000500019947N	www.coscocharity.org	nan
104	北京市海淀区复兴路10号		海淀区	2005-11-18	2000.00 万元	詹天佑科学技术发展基金会	基金会	-	北京市	民政部	蔡庆华	铁道部	正常	5310000050001998XY	www.zdfst.org	nan
105	北京市东城区沙滩后街55号7#楼二层、三层		东城区	2000-11-08	2000.00 万元	韬奋基金会	基金会	-	北京市	民政部	聂震宁	国家新闻出版广电总局	正常	53100000500018602T	www.taofenfund.org	nan
106	辽宁省沈阳市和平区文化路3号巷11号		沈阳市	2006-03-16	2000.00 万元	张学良教育基金会	基金会	-	辽宁省	民政部	熊晓梅	教育部	正常	53100000500020040L	www.chlef.org	nan
107	浙江省杭州市余杭塘路866号浙江大学紫金港校区内		杭州市	2006-07-27	5000.00 万元	浙江大学教育基金会	基金会	-	浙江省	民政部	金德水	教育部	正常	53100000500020171G	www.zuef.zju.edu.cn	nan
108	北京市西城区月坛北小街2号2号楼		西城区	1994-12-01	2000.00 万元	孙冶方经济科学基金会	基金会	-	北京市	民政部	李剑阁	中国社会科学院	正常	53100000500017829N	http://sunyefang.cass.cn	nan
109	浙江省温州市永嘉瓯北三桥奥康工业园		温州市	2006-12-07	2000.00 万元	王振滔慈善基金会	基金会	-	浙江省	民政部	林丽琴	民政部	正常	53100000500020323W	www.wztcf.org	nan
110	北京市朝阳区新源南路6号京城大厦1805室		朝阳区	2007-03-01	2000.00 万元	友成企业家扶贫基金会	基金会	-	北京市	民政部	王平	国务院扶贫开发领导小组办公室	正常	53100000500020390T	http://www.youcheng.org	nan
111	北京市西城区百万庄26号		西城区	2007-02-09	2000.00 万元	李四光地质科学奖基金会	基金会	-	北京市	民政部	张洪涛	国土资源部	正常	53100000500020403G	http://www.lsgf.ac.cn	nan
112	北京市朝阳区新源南路8号院4号楼3层15A单元		朝阳区	2007-03-01	5000.00 万元	凯风公益基金会	基金会	-	北京市	民政部	段伟红	民政部	正常	53100000500020411B	www.kaifengfoundation.org	nan
113	北京市西城区金融大街16号		西城区	2007-03-07	5000.00 万元	中国人寿慈善基金会	基金会	-	北京市	民政部	林岱仁	民政部	正常	53100000500020446X	http://www.e-chinalife.com/clFoundation/	nan
114	北京市朝阳区朝外大街甲6号万通中心C座1505室		朝阳区	2007-05-11	10000.00 万元	南都公益基金会	基金会	-	北京市	民政部	徐永光	民政部	正常	53100000500020518N	www.naradafoundation.org	nan
115	广东省深圳市高新科技园南一道飞亚达大厦5-10层		深圳市	2007-06-26	2000.00 万元	腾讯公益慈善基金会	基金会	-	广东省	民政部	郭凯天	民政部	正常	531000005000206140	www.tencentfoundation.org	nan
116	北京市朝阳区定福庄东街1号		朝阳区	2007-06-21	2000.00 万元	传媒大学教育基金会	基金会	-	北京市	民政部	陈文申	教育部	正常	53100000500020630M	http://cucef.cuc.edu.cn	nan
117	北京市复兴门内大街49号			2008-01-28	10000.00 万元	天诺慈善基金会	基金会	-	北京市	民政部	王豫颖	民政部	正常	53100000500020892D	无	nan
118	北京市东城区西总布胡同13号		东城区	2008-03-11	5000.00 万元	华民慈善基金会	基金会	-	北京市	民政部	卢德之	民政部	正常	531000005000209721	http://www.chinahuamin.org	nan
119	北京市西城区东河沿街69号		西城区	2008-03-21	5000.00 万元	中国人保公益慈善基金会	基金会	-	北京市	民政部	栗建国	民政部	正常	53100000500020999Q	www.picc.com.cn	nan
120	北京市朝阳区朝外大街乙12号昆泰国际大厦写字楼24层2408室		朝阳区	2008-05-06	2000.00 万元	爱佑慈善基金会	基金会	-	北京市	民政部	王兵	民政部	正常	531000005000210435	http://www.ayfoundation.org/	nan
121	北京市东长安街12号		东长安街	2008-05-08	2000.00 万元	纺织之光科技教育基金会	基金会	-	北京市	民政部	高勇	国务院国有资产监督管理委员会	正常	53100000500021035A	www.fzjjh.com	nan
122	广东省深圳市宝安区桃源居桃源大厦		深圳市宝安区	2008-07-16	10000.00 万元	桃源居公益事业发展基金会	基金会	-	广东省	民政部	张敏	民政部	正常	53100000500021131K	http://www.mytyj.org	nan
123	广东省深圳市盐田区大梅沙环梅路33号万科中心		深圳市盐田区	2008-09-04	5000.00 万元	万科公益基金会	基金会	-	广东省	民政部	王石	民政部	正常	531000005000211741	www.vankefoundation.org	nan
124	北京市海淀区清华科技园创新大厦B座1300A		海淀区	2008-09-19	5000.00 万元	心和公益基金会	基金会	-	北京市	民政部	伍松	民政部	正常	53100000500021182U	www.xinping.org	nan
125	北京市东城区朝阳门北大街1新保利大厦20层		东城区	2008-12-18	5000.00 万元	海仓慈善基金会	基金会	15810728268	北京市	民政部	李兆霞	民政部	正常	53100000500021254L		nan
126	北京市西城区西长安街86号		西城区	2009-03-12	10000.00 万元	国家电网公益基金会	基金会	-	北京市	民政部	李汝革	民政部	正常	531000005000213348	www.csr.sgcc.com.cn	nan
127	广东省深圳市南山区蛇口沿山路21号2层		深圳市	2009-06-23	10000.00 万元	招商局慈善基金会	基金会	-	广东省	民政部	胡政	民政部	正常	531000005000214579	www.cmcf.org.cn	nan
128	北京市西城区金融大街29号		西城区	2009-07-13	10000.00 万元	中国移动慈善基金会	基金会	-	北京市	民政部	李跃	民政部	正常	531000005000214654	http://www.10086.cn/cishan/	nan
129	北京市海淀区上园村3号北京交通大学知行大厦8层8212		海淀区	2009-07-29	2000.00 万元	北京交通大学教育基金会	基金会	-	北京市	民政部	曹国永	教育部	正常	531000005000215105	foundation.bjtu.edu.cn	nan
130	北京市海淀区清华东路17号		海淀区	2009-09-02	2046.00 万元	中国农业大学教育基金会	基金会	-	北京市	民政部	姜沛民	教育部	正常	531000005000215292	http://cauef.cau.edu.cn	nan
131	北京市海淀区学院南路39号		海淀区	2009-08-24	2000.00 万元	中央财经大学教育基金会	基金会	-	北京市	民政部	柯卡生	教育部	正常	53100000500021617G	http://ef.cufe.edu.cn	nan
